model,variant,variant_label,dataset,horizon,seed,validation_mse,validation_mae,parameter_count,record
GraphMambaCMRHM,no_decomp,w/o Decomp,ETTm1,96,2021,0.3649988507454353,0.4004253914282448,994701,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p96_no_decomp_s2021.json
GraphMambaCMRHM,no_decomp,w/o Decomp,ETTm1,720,2021,0.9267076397884373,0.6365046683976572,6766077,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p720_no_decomp_s2021.json
GraphMambaCMRHM,no_decomp,w/o Decomp,ETTm2,96,2021,0.12458324228660184,0.24196533484546867,994701,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p96_no_decomp_s2021.json
GraphMambaCMRHM,no_decomp,w/o Decomp,ETTm2,720,2021,0.2773082955887549,0.36145051771763537,6766077,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p720_no_decomp_s2021.json
GraphMambaCMRHM,no_patch,w/o Patch,ETTm1,96,2021,0.3703715461157779,0.4029812109727493,708845,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p96_no_patch_s2021.json
GraphMambaCMRHM,no_patch,w/o Patch,ETTm1,720,2021,0.9494539814653313,0.6434859866467988,4623821,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p720_no_patch_s2021.json
GraphMambaCMRHM,no_patch,w/o Patch,ETTm2,96,2021,0.12535213795753647,0.24207229076853343,708845,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p96_no_patch_s2021.json
GraphMambaCMRHM,no_patch,w/o Patch,ETTm2,720,2021,0.2781982874662982,0.36196612303606834,4623821,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p720_no_patch_s2021.json
GraphMambaCMRHM,uni_mamba,Uni-Mamba,ETTm1,96,2021,0.37449135031267367,0.40375021812977163,965485,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p96_uni_mamba_s2021.json
GraphMambaCMRHM,uni_mamba,Uni-Mamba,ETTm1,720,2021,0.9383458690879408,0.6390028096994023,6797389,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p720_uni_mamba_s2021.json
GraphMambaCMRHM,uni_mamba,Uni-Mamba,ETTm2,96,2021,0.12192120400719236,0.24169273202563618,965485,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p96_uni_mamba_s2021.json
GraphMambaCMRHM,uni_mamba,Uni-Mamba,ETTm2,720,2021,0.282301562739095,0.36482175139275574,6797389,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p720_uni_mamba_s2021.json
GraphMambaCMRHM,no_mamba,w/o Mamba,ETTm1,96,2021,0.3703990713566483,0.4028697018088233,909997,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p96_no_mamba_s2021.json
GraphMambaCMRHM,no_mamba,w/o Mamba,ETTm1,720,2021,0.9404821095847606,0.6364858723146042,6741901,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p720_no_mamba_s2021.json
GraphMambaCMRHM,no_mamba,w/o Mamba,ETTm2,96,2021,0.12090872700790496,0.23956334418054048,909997,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p96_no_mamba_s2021.json
GraphMambaCMRHM,no_mamba,w/o Mamba,ETTm2,720,2021,0.2702793891074097,0.3564672845570773,6741901,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p720_no_mamba_s2021.json
GraphMambaCMRHM,no_graph,w/o Graph,ETTm1,96,2021,0.3700037023073884,0.40136362430961653,995623,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p96_no_graph_s2021.json
GraphMambaCMRHM,no_graph,w/o Graph,ETTm1,720,2021,0.9368569658636839,0.6395020669319318,6827527,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm1_p720_no_graph_s2021.json
GraphMambaCMRHM,no_graph,w/o Graph,ETTm2,96,2021,0.12589198215139202,0.2437003209474895,995623,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p96_no_graph_s2021.json
GraphMambaCMRHM,no_graph,w/o Graph,ETTm2,720,2021,0.27664611670111244,0.35825854165656323,6827527,/home/cwh/Time-Series-Library/logs/cmrhm_backbone_ablation/records/cmrhm_backbone_ettm2_p720_no_graph_s2021.json
