dataset,horizon,variant,validation_mse,validation_mae,parameter_count,milliseconds_per_batch,peak_cuda_memory_bytes,memory_correction_mae
ETTm1,96,Recent96,0.4042523012502101,0.4233181385796704,997382,4.602826754536542,139060736,
ETTm1,96,Raw336,0.36544667145579113,0.39850465900738735,3232262,8.942554955235448,431439360,
ETTm1,96,CMRHM,0.3676290116385146,0.40006146778274826,1004013,5.192497938314672,139173888,0.21309415791523362
ETTm1,720,Recent96,0.9744144898859306,0.6612155315543194,6809318,4.836824002741841,165855744,
ETTm1,720,Raw336,0.9577100629977768,0.6497050289368691,23570918,9.310334840287956,516267520,
ETTm1,720,CMRHM,0.9410282849806859,0.6398984291359798,6835917,5.2001729969916175,166607872,0.2677498502599287
ETTm2,96,Recent96,0.12886945275076853,0.24788260597629672,997382,4.5072829471797,139060736,
ETTm2,96,Raw336,0.1179668104369106,0.23627921691819803,3232262,8.90560927358586,431439360,
ETTm2,96,CMRHM,0.12322505557761908,0.2434081428975404,1004013,4.9163973018755955,139173888,0.049858020825896326
ETTm2,720,Recent96,0.2895765597758094,0.369894464320617,6809318,4.966960180435088,165855744,
ETTm2,720,Raw336,0.2651014554999569,0.3528077271554212,23570918,9.346355967218134,516267520,
ETTm2,720,CMRHM,0.2780113819690256,0.3597080723466274,6835917,5.3140736004536056,166607872,0.08815673958364333
