dataset,horizon,variable_index,gate
ETTm1,96,0,0.24490270018577576
ETTm1,96,1,0.1685083508491516
ETTm1,96,2,0.24428588151931763
ETTm1,96,3,0.16588377952575684
ETTm1,96,4,0.24090451002120972
ETTm1,96,5,0.13069257140159607
ETTm1,96,6,0.1509457677602768
ETTm1,720,0,0.2527945637702942
ETTm1,720,1,0.1832958459854126
ETTm1,720,2,0.2573566138744354
ETTm1,720,3,0.1709541529417038
ETTm1,720,4,0.19243957102298737
ETTm1,720,5,0.1351427286863327
ETTm1,720,6,0.229073628783226
ETTm2,96,0,-0.17005768418312073
ETTm2,96,1,-0.18255959451198578
ETTm2,96,2,-0.09056250005960464
ETTm2,96,3,-0.1721518486738205
ETTm2,96,4,-0.03923903778195381
ETTm2,96,5,0.016190309077501297
ETTm2,96,6,-0.152256041765213
ETTm2,720,0,0.14096269011497498
ETTm2,720,1,0.15601846575737
ETTm2,720,2,0.07685206085443497
ETTm2,720,3,0.14615826308727264
ETTm2,720,4,0.027525944635272026
ETTm2,720,5,-0.012532160617411137
ETTm2,720,6,0.1460084468126297
