dataset,horizon,seed,seq_len,recent_len,scan_mode,test_mse,test_mae,result_source,source_record
ETTh1,96,2021,336,96,independent_shared,0.3682802617549896,0.39763304591178894,new_unified_independent_shared_run,/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/training/final/cmrhm_unified_etth1_p96_s2021.json
ETTh1,192,2021,336,96,independent_shared,0.41641029715538025,0.42609861493110657,reused_independent_checkpoint_one_shot_test,/home/cwh/Time-Series-Library/logs/graphmamba_q2_factorial/validation/q2f_etth1_p192_c_s2021.json
ETTh1,336,2021,336,96,independent_shared,0.46615391969680786,0.44759824872016907,new_unified_independent_shared_run,/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/training/final/cmrhm_unified_etth1_p336_s2021.json
ETTh1,720,2021,336,96,independent_shared,0.467281699180603,0.46540719270706177,reused_independent_checkpoint_one_shot_test,/home/cwh/Time-Series-Library/logs/graphmamba_q2_factorial/validation/q2f_etth1_p720_c_s2021.json
ETTh2,96,2021,336,96,independent_shared,0.2812073230743408,0.341083288192749,new_unified_independent_shared_run,/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/training/final/cmrhm_unified_etth2_p96_s2021.json
ETTh2,192,2021,336,96,independent_shared,0.3399837017059326,0.3865271210670471,reused_independent_checkpoint_one_shot_test,/home/cwh/Time-Series-Library/logs/graphmamba_q2_factorial/validation/q2f_etth2_p192_c_s2021.json
ETTh2,336,2021,336,96,independent_shared,0.3724833130836487,0.4100472629070282,new_unified_independent_shared_run,/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/training/final/cmrhm_unified_etth2_p336_s2021.json
ETTh2,720,2021,336,96,independent_shared,0.4337161183357239,0.45506444573402405,reused_independent_checkpoint_one_shot_test,/home/cwh/Time-Series-Library/logs/graphmamba_q2_factorial/validation/q2f_etth2_p720_c_s2021.json
ETTm1,96,2021,336,96,independent_shared,0.2950538992881775,0.3487284481525421,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_96_cmrhm_s2021.json
ETTm1,192,2021,336,96,independent_shared,0.3318106532096863,0.3740169107913971,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_192_cmrhm_s2021.json
ETTm1,336,2021,336,96,independent_shared,0.3705420196056366,0.3950028717517853,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_336_cmrhm_s2021.json
ETTm1,720,2021,336,96,independent_shared,0.42354199290275574,0.42606303095817566,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_720_cmrhm_s2021.json
ETTm2,96,2021,336,96,independent_shared,0.17185743153095245,0.26104092597961426,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_96_cmrhm_s2021.json
ETTm2,192,2021,336,96,independent_shared,0.22510570287704468,0.2954224646091461,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_192_cmrhm_s2021.json
ETTm2,336,2021,336,96,independent_shared,0.2914232611656189,0.3407357335090637,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_336_cmrhm_s2021.json
ETTm2,720,2021,336,96,independent_shared,0.37522217631340027,0.38984760642051697,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_720_cmrhm_s2021.json
weather,96,2021,336,96,independent_shared,0.1462111473083496,0.1966434121131897,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_weather_p96_s2021.json
weather,192,2021,336,96,independent_shared,0.1877095252275467,0.23579229414463043,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_weather_p192_s2021.json
weather,336,2021,336,96,independent_shared,0.24200038611888885,0.278119295835495,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_weather_p336_s2021.json
weather,720,2021,336,96,independent_shared,0.31817513704299927,0.33138200640678406,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_weather_p720_s2021.json
solar,96,2021,336,96,independent_shared,0.19971461594104767,0.25275862216949463,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_solar_p96_s2021.json
solar,192,2021,336,96,independent_shared,0.22743776440620422,0.2721284329891205,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_solar_p192_s2021.json
solar,336,2021,336,96,independent_shared,0.2414090931415558,0.28297659754753113,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_solar_p336_s2021.json
solar,720,2021,336,96,independent_shared,0.2376740425825119,0.28287652134895325,reused_completed_independent_shared_record,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_six_dataset_final/records/sixds_solar_p720_s2021.json
