dataset,pred_len,n,adaptive_entropy_mean,adaptive_entropy_std,static_entropy_mean,static_entropy_std,mean_self_mass_mean,mean_self_mass_std,min_self_mass_mean,min_self_mass_std,max_self_mass_mean,max_self_mass_std,mean_max_offdiag_mean,mean_max_offdiag_std,top1_self_fraction_mean,top1_self_fraction_std,embedding_norm_mean_mean,embedding_norm_mean_std,best_mse_mean,best_mse_std,test_mse_mean,test_mse_std
ETTh1,96,3,0.12941068518602686,0.035892247262352094,1.041880834480244,0.0,0.9659290983621721,0.014077516207996575,0.8375055039321423,0.08678942434675126,0.999778570464951,0.00026100117203867775,0.027214806268245375,0.015241283159047898,1.0,0.0,2.999574809978128,0.08785249381372104,0.6950300478391019,0.0024321927368288767,0.37436944246292114,0.0013437358951268147
ETTh1,192,3,0.2828485698012507,0.18909255942551548,1.041880834480244,0.0,0.9096220760830463,0.06851312875444986,0.6184170131361616,0.2719003608011296,0.9999709717933397,1.959875014623932e-05,0.044197727850084544,0.02589645564995928,1.0,0.0,3.053977594010103,0.44232674045259257,1.0006410540242008,0.0016283573895311187,0.42171217997868854,0.0009373227905786933
ETTh1,336,3,0.22850954540365498,0.03787739422198879,1.041880834480244,0.0,0.9334098845201049,0.017368276729690046,0.7612562832731614,0.01716113006101919,0.9997097831513688,0.0003009177137166224,0.04758671946233297,0.018591358724060522,1.0,0.0,3.1085289594155476,0.14783006413212954,1.29338736423167,0.003082578234519414,0.4736310342947642,0.008098624553132814
ETTh1,720,3,0.12038138521979969,0.07502444800280564,1.041880834480244,0.0,0.9595214940453185,0.03138850274792199,0.8106929460819222,0.16646421053353905,0.9999100445108177,0.00011046713631008346,0.03561380314939662,0.02881836502161782,1.0,0.0,3.2289653426759117,0.28765934086276373,1.5792437668270527,0.003343231030720886,0.4847322503725688,0.003396676687598246
ETTh2,96,3,0.1653903727577705,0.04916859191108629,1.0610322116816562,0.0,0.9582111703716026,0.013595331514898331,0.8695971672779267,0.03715866907451447,0.9999078272166749,8.818496305306181e-05,0.03323758617205275,0.009141043198534718,1.0,0.0,2.9954241342908574,0.05598101948112958,0.2175265435769448,0.0009852883383358324,0.2983565429846446,0.003793885615468442
ETTh2,192,3,0.3557921706550476,0.1222954278355149,1.0610322116816562,0.0,0.8698923243181542,0.06481435940604763,0.5649099343222316,0.21063584870049365,0.999959810732553,2.8129606615335557e-05,0.08787615297475106,0.03903318989479986,0.9047619047619048,0.13468700594029476,3.0152124894253585,0.43986494940674675,0.27502333870966084,0.001928828732958388,0.36864322423934937,0.003558962118170591
ETTh2,336,3,0.17437323987644904,0.0800891103139933,1.0610322116816562,0.0,0.9507861804831212,0.034683964812504256,0.7671609869423005,0.19647232507002416,0.9997157844254648,0.0002985848789139533,0.029543997675613203,0.01846678037327473,1.0,0.0,3.1374571941195892,0.12208023173891491,0.36082852417556127,0.0018905226089085034,0.4179940124352773,0.003830101786298986
ETTh2,720,3,0.09428078762594246,0.08473817947235963,1.0610322116816562,0.0,0.9741529087016678,0.028351765491074262,0.9085462059006447,0.09838761505293273,0.9999066715202974,0.00011199890193106966,0.021543170113639053,0.026047837127281717,1.0,0.0,3.2552015914792904,0.28594590702423883,0.6103602353325562,0.012119138997663186,0.4444044729073842,0.0014192117701751668
ETTm1,96,3,0.34087881942087866,0.08481420311501887,1.0431651991241402,0.0,0.6909650675744708,0.05586407446553296,0.06314200537591651,0.0370236851801397,0.9999910892703578,8.28557738127691e-06,0.25134455565860164,0.07262582147353759,0.7142857142857143,0.0,3.127316940276959,0.18536971054976012,0.39749896718638295,0.0029822006967808417,0.3336626986662547,0.003450305135309153
ETTm1,192,3,0.36697039285712973,0.21936344020333748,1.0431651991241402,0.0,0.6977729891849186,0.08545687152198031,0.06926755112635687,0.03561010183921947,0.9999054867507436,0.00012844513788208895,0.23697060848799315,0.10805972826753059,0.7142857142857143,0.11664236870396084,3.0234278512668644,0.49598830286169976,0.5124788991813944,0.002747458659911881,0.36612240473429364,0.0033801468542852065
ETTm1,336,3,0.5072412309782023,0.10276775079504535,1.0431651991241402,0.0,0.6042373835823962,0.0682824260998617,0.09504768249126135,0.06187565799065428,0.9999831525869151,2.001928366421941e-05,0.3138910225283012,0.0296634490683996,0.619047619047619,0.0673435029701474,3.0807187173299533,0.1429843674792933,0.657645814740854,0.0047034768474819265,0.3942308823267619,0.006302696277424396
ETTm1,720,3,0.2814723476609344,0.031566260505413175,1.0431651991241402,0.0,0.6669807600505799,0.09247214724947142,0.12509547497990228,0.1254635807777571,0.9999656415520649,2.4350508193883885e-05,0.3201871516665105,0.0974973920973613,0.6190476190476191,0.13468700594029479,3.2616984808991547,0.2803721552821978,0.969532021916205,0.007876337198195065,0.45717979470888775,0.0024717244938617087
ETTm2,96,3,0.23756771273165422,0.0928189530630114,1.0612820125760627,0.0,0.85799394709905,0.09050153819113106,0.47333831101197327,0.314091797582196,0.9999781480318859,1.470178016026871e-05,0.12871963080417426,0.08843832220608934,0.8571428571428572,0.11664236870396084,2.9809264175673618,0.04640841158335196,0.12914713445209455,0.00246541645302166,0.18385647734006247,0.0030056574412853426
ETTm2,192,3,0.4284057000212363,0.19565723875781302,1.0612820125760627,0.0,0.7945537324809092,0.052377656655226895,0.20415838064497718,0.07299350485737158,0.9999439492691383,3.9754569893293695e-05,0.13740470092336257,0.030168088272840204,0.8571428571428571,0.0,2.949705491687889,0.4233535096741016,0.17171892464083838,0.0020833410565053766,0.24524868031342825,0.0012497100207970464
ETTm2,336,3,0.18060267896824242,0.08461861300815127,1.0612820125760627,0.0,0.9396296122280461,0.03422473853822997,0.6967222640788714,0.1773326447340624,0.9996867230159333,0.00035370201552683054,0.04173561410198212,0.025015927683045412,1.0,0.0,3.156494504756149,0.0954270026040627,0.22289373974513205,0.0013740982337738425,0.30704115827878314,0.0023494492174685358
ETTm2,720,3,0.12492756779561544,0.08619447758387044,1.0612820125760627,0.0,0.9239069436466579,0.060603363519548016,0.5605841066950864,0.3235704418545059,0.999970400961215,6.795663802172631e-06,0.07123226442600677,0.05793983506129132,0.9047619047619048,0.0673435029701474,3.2835779252383825,0.2372126236142875,0.2949141292877821,0.004186542237175399,0.4257807433605194,0.028874049250554205
