dataset,pred_len,seed,model,periodic_backbone_active,validation_mse,validation_mae,test_mse,test_mae,result_source,simpletm_mse,simpletm_mae,mse_delta_vs_simpletm_pct,mae_delta_vs_simpletm_pct,mse_win,mae_win
ETTh1,96,2021,GraphMambaCMRHM,True,0.680194934457859,0.5484401367460141,0.3730880320072174,0.39741504192352295,new_overnight_run,0.366,0.392,1.9366207669992939,1.3813882457966669,False,False
ETTh1,192,2021,GraphMambaCMRHM,True,0.9572204992194365,0.6489601730909809,0.4182927906513214,0.4264770746231079,new_overnight_run,0.422,0.421,-0.8784856276489514,1.3009678439686283,True,False
ETTh1,336,2021,GraphMambaCMRHM,True,1.2444361061897746,0.7495800832151377,0.45279353857040405,0.44287216663360596,new_overnight_run,0.44,0.438,2.9076224023645567,1.112366811325561,False,False
ETTh1,720,2021,GraphMambaCMRHM,True,1.4632098952250574,0.8306601201838324,0.4866975247859955,0.47199127078056335,new_overnight_run,0.463,0.462,5.118255893303554,2.1626127230656564,False,False
ETTh2,96,2021,GraphMambaCMRHM,True,0.2150344621404436,0.32226369858929527,0.28704777359962463,0.34694069623947144,new_overnight_run,0.281,0.338,2.1522325977311763,2.645176402210477,False,False
ETTh2,192,2021,GraphMambaCMRHM,True,0.29361707061525466,0.3721289931350349,0.3351253271102905,0.3790492117404938,new_overnight_run,0.355,0.387,-5.5984994055519595,-2.054467250518407,True,True
ETTh2,336,2021,GraphMambaCMRHM,True,0.38560007052842626,0.42748118371857585,0.3636535108089447,0.40384748578071594,new_overnight_run,0.365,0.401,-0.36890114823432574,0.7100962046673115,True,False
ETTh2,720,2021,GraphMambaCMRHM,True,0.6144282018292576,0.5505642676725943,0.42011427879333496,0.44566407799720764,new_overnight_run,0.413,0.436,1.7225856642457587,2.216531650735698,False,False
ETTm1,96,2021,GraphMambaCMRHM,False,0.36555982886844346,0.398636661876151,0.2950538992881775,0.3487284481525421,reused_existing_one_shot_test,0.321,0.361,-8.082897418013244,-3.399321841401073,True,True
ETTm1,192,2021,GraphMambaCMRHM,False,0.48078013696058786,0.46060922740324106,0.3318106532096863,0.3740169107913971,reused_existing_one_shot_test,0.36,0.38,-7.830374108420474,-1.5744971601586604,True,True
ETTm1,336,2021,GraphMambaCMRHM,False,0.6224400361064324,0.5233821398832569,0.3705420196056366,0.3950028717517853,reused_existing_one_shot_test,0.39,0.404,-4.989225742144465,-2.2270119426274126,True,True
ETTm1,720,2021,GraphMambaCMRHM,False,0.9400004502334256,0.6397543385814374,0.42354199290275574,0.42606303095817566,reused_existing_one_shot_test,0.454,0.438,-6.708812135956888,-2.7253353976767904,True,True
ETTm2,96,2021,GraphMambaCMRHM,False,0.12291466004130268,0.24302524385196883,0.17185743153095245,0.26104092597961426,reused_existing_one_shot_test,0.173,0.257,-0.6604442017615801,1.5723447391495142,True,False
ETTm2,192,2021,GraphMambaCMRHM,False,0.1616830469834837,0.2776145029683509,0.22510570287704468,0.2954224646091461,reused_existing_one_shot_test,0.238,0.299,-5.417771900401392,-1.1965001307203578,True,True
ETTm2,336,2021,GraphMambaCMRHM,False,0.21440705809129573,0.3208749137249369,0.2914232611656189,0.3407357335090637,reused_existing_one_shot_test,0.296,0.338,-1.5461955521557733,0.809388612149023,True,False
ETTm2,720,2021,GraphMambaCMRHM,False,0.2786508198134717,0.35967733572065547,0.37522217631340027,0.38984760642051697,reused_existing_one_shot_test,0.393,0.395,-4.5236192586767805,-1.30440343784381,True,True
weather,96,2021,GraphMambaCMRHM,False,0.38365025392422214,0.2691728420709505,0.1462111473083496,0.1966434121131897,new_overnight_run,0.162,0.207,-9.746205365216294,-5.003182554014634,True,True
weather,192,2021,GraphMambaCMRHM,False,0.4499114554469259,0.31155879198507336,0.1877095252275467,0.23579229414463043,new_overnight_run,0.208,0.248,-9.755035948294855,-4.92246203845547,True,True
weather,336,2021,GraphMambaCMRHM,False,0.5303996194792506,0.36951107262853533,0.24200038611888885,0.278119295835495,new_overnight_run,0.263,0.29,-7.984644061258995,-4.096794539484478,True,True
weather,720,2021,GraphMambaCMRHM,False,0.6444935399453787,0.4406900181635795,0.31817513704299927,0.33138200640678406,new_overnight_run,0.34,0.341,-6.419077340294341,-2.8205259804152396,True,True
solar,96,2021,GraphMambaCMRHM,False,0.1523898408484252,0.21962147965583487,0.19971461594104767,0.25275862216949463,new_overnight_run,0.163,0.232,22.52430425831145,8.947681969609748,False,False
solar,192,2021,GraphMambaCMRHM,False,0.16927397235375566,0.2338633504021549,0.22743776440620422,0.2721284329891205,new_overnight_run,0.182,0.247,24.965804618793534,10.173454651465784,False,False
solar,336,2021,GraphMambaCMRHM,False,0.17982456123106527,0.24276615871511098,0.2414090931415558,0.28297659754753113,new_overnight_run,0.193,0.257,25.08243167956258,10.107625504875923,False,False
solar,720,2021,GraphMambaCMRHM,False,0.16843405258898136,0.2373832850454745,0.2376740425825119,0.28287652134895325,new_overnight_run,0.199,0.252,19.434192252518535,12.252587836886208,False,False
