dataset,horizon,ablation,ablation_mse,full_mse,full_mse_improvement_pct,ablation_mae,full_mae,full_mae_improvement_pct
ETTm1,96,Concat,0.3741228637325648,0.36555982886844346,2.2888296049830545,0.4054656347791714,0.398636661876151,1.6842297638219539
ETTm1,96,NoDiff,0.37485390514486266,0.36555982886844346,2.4793862752550226,0.40499730821971014,0.398636661876151,1.5705403997669325
ETTm1,96,GlobalGate,0.36805089107885874,0.36555982886844346,0.6768254800615463,0.4002407335939414,0.398636661876151,0.4007767283921209
ETTm1,720,Concat,0.9319807950673383,0.9400004502334256,-0.8604957536177369,0.6383963551632308,0.6397543385814374,-0.21271791532383771
ETTm1,720,NoDiff,0.9372282408149856,0.9400004502334256,-0.29578807996965606,0.6392395544524923,0.6397543385814374,-0.08053070642445376
ETTm1,720,GlobalGate,0.9387489169828117,0.9400004502334256,-0.13331927504495913,0.6415390940473389,0.6397543385814374,0.2781990189626409
ETTm2,96,Concat,0.12483807205048354,0.12291466004130268,1.5407254995119204,0.24442489208051707,0.24302524385196883,0.5726291690811813
ETTm2,96,NoDiff,0.12326316837470978,0.12291466004130268,0.2827351738579918,0.24289900583662913,0.24302524385196883,-0.051971400584738744
ETTm2,96,GlobalGate,0.12153849369512941,0.12291466004130268,-1.1322884662576806,0.24079723136753195,0.24302524385196883,-0.925264992368719
ETTm2,720,Concat,0.27827018406263454,0.2786508198134717,-0.136786394172743,0.3612671162324632,0.35967733572065547,0.4400568001834902
ETTm2,720,NoDiff,0.2780488443980996,0.2786508198134717,-0.21649988032683987,0.3608232817558596,0.35967733572065547,0.3175920438469646
ETTm2,720,GlobalGate,0.27502813165993,0.2786508198134717,-1.317206400551449,0.3585983412414369,0.35967733572065547,-0.3008922114595306
