dataset,variant,input_features,validation_mse,variable,variable_mse
ETTm1,recent96,96,0.8920824415937801,HUFL,0.7746215557031192
ETTm1,recent96,96,0.8920824415937801,HULL,1.081419361706625
ETTm1,recent96,96,0.8920824415937801,MUFL,0.7893280222695862
ETTm1,recent96,96,0.8920824415937801,MULL,1.0631453164128064
ETTm1,recent96,96,0.8920824415937801,LUFL,1.380859366275149
ETTm1,recent96,96,0.8920824415937801,LULL,1.025010717785593
ETTm1,recent96,96,0.8920824415937801,OT,0.130192751003582
ETTm1,old_pool16,111,0.8627949579088767,HUFL,0.6848454149514521
ETTm1,old_pool16,111,0.8627949579088767,HULL,1.1054931980254927
ETTm1,old_pool16,111,0.8627949579088767,MUFL,0.7007037464469269
ETTm1,old_pool16,111,0.8627949579088767,MULL,1.076275889970264
ETTm1,old_pool16,111,0.8627949579088767,LUFL,1.30130674067938
ETTm1,old_pool16,111,0.8627949579088767,LULL,1.056637825661097
ETTm1,old_pool16,111,0.8627949579088767,OT,0.11430188962752462
ETTm1,old_pool8,126,0.8608467031612268,HUFL,0.6807333199012108
ETTm1,old_pool8,126,0.8608467031612268,HULL,1.104440459234486
ETTm1,old_pool8,126,0.8608467031612268,MUFL,0.6973493994819691
ETTm1,old_pool8,126,0.8608467031612268,MULL,1.0752647750395992
ETTm1,old_pool8,126,0.8608467031612268,LUFL,1.2977966704487698
ETTm1,old_pool8,126,0.8608467031612268,LULL,1.0561884689668208
ETTm1,old_pool8,126,0.8608467031612268,OT,0.11415382905573097
ETTm1,old_pool4,156,0.859839239807456,HUFL,0.6791478755368325
ETTm1,old_pool4,156,0.859839239807456,HULL,1.1036469468635428
ETTm1,old_pool4,156,0.859839239807456,MUFL,0.6965345345907492
ETTm1,old_pool4,156,0.859839239807456,MULL,1.0743633602513967
ETTm1,old_pool4,156,0.859839239807456,LUFL,1.294893854748091
ETTm1,old_pool4,156,0.859839239807456,LULL,1.0561772919353525
ETTm1,old_pool4,156,0.859839239807456,OT,0.11411081472622833
ETTm1,raw336,336,0.8598877392277349,HUFL,0.6793382572913642
ETTm1,raw336,336,0.8598877392277349,HULL,1.103564034872561
ETTm1,raw336,336,0.8598877392277349,MUFL,0.6969201889526544
ETTm1,raw336,336,0.8598877392277349,MULL,1.0742835545744185
ETTm1,raw336,336,0.8598877392277349,LUFL,1.294634814331064
ETTm1,raw336,336,0.8598877392277349,LULL,1.0563840839099228
ETTm1,raw336,336,0.8598877392277349,OT,0.11408924066215924
ETTm2,recent96,96,0.46927783839749804,HUFL,0.3824036335652574
ETTm2,recent96,96,0.46927783839749804,HULL,0.8570170982454588
ETTm2,recent96,96,0.46927783839749804,MUFL,0.10232443011896288
ETTm2,recent96,96,0.46927783839749804,MULL,1.3129218308331048
ETTm2,recent96,96,0.46927783839749804,LUFL,0.3683849857599403
ETTm2,recent96,96,0.46927783839749804,LULL,0.018191880860705365
ETTm2,recent96,96,0.46927783839749804,OT,0.2437010093990565
ETTm2,old_pool16,111,0.4088592390099632,HUFL,0.32838772126664495
ETTm2,old_pool16,111,0.4088592390099632,HULL,0.6599624142059709
ETTm2,old_pool16,111,0.4088592390099632,MUFL,0.09382988248343944
ETTm2,old_pool16,111,0.4088592390099632,MULL,1.201835436202402
ETTm2,old_pool16,111,0.4088592390099632,LUFL,0.3550693301349439
ETTm2,old_pool16,111,0.4088592390099632,LULL,0.01737095163483202
ETTm2,old_pool16,111,0.4088592390099632,OT,0.20555893714150958
ETTm2,old_pool8,126,0.4079783450903028,HUFL,0.3270995927127939
ETTm2,old_pool8,126,0.4079783450903028,HULL,0.6584726035191243
ETTm2,old_pool8,126,0.4079783450903028,MUFL,0.09345141184255981
ETTm2,old_pool8,126,0.4079783450903028,MULL,1.1992296931039361
ETTm2,old_pool8,126,0.4079783450903028,LUFL,0.354888167439517
ETTm2,old_pool8,126,0.4079783450903028,LULL,0.017335247562220536
ETTm2,old_pool8,126,0.4079783450903028,OT,0.20537169945196776
ETTm2,old_pool4,156,0.4073132740862761,HUFL,0.32638184669448056
ETTm2,old_pool4,156,0.4073132740862761,HULL,0.6574540396832586
ETTm2,old_pool4,156,0.4073132740862761,MUFL,0.09318212040088746
ETTm2,old_pool4,156,0.4073132740862761,MULL,1.196645756437136
ETTm2,old_pool4,156,0.4073132740862761,LUFL,0.35492433528687306
ETTm2,old_pool4,156,0.4073132740862761,LULL,0.0173234157980834
ETTm2,old_pool4,156,0.4073132740862761,OT,0.2052814043032138
ETTm2,raw336,336,0.40710082580872226,HUFL,0.3262352423232183
ETTm2,raw336,336,0.40710082580872226,HULL,0.6570326889599097
ETTm2,raw336,336,0.40710082580872226,MUFL,0.0931191715041793
ETTm2,raw336,336,0.40710082580872226,MULL,1.195622282716659
ETTm2,raw336,336,0.40710082580872226,LUFL,0.35514183358365015
ETTm2,raw336,336,0.40710082580872226,LULL,0.01732223538881651
ETTm2,raw336,336,0.40710082580872226,OT,0.2052323261846233
