dataset,pred_len,seed,model,candidate,best_mse,best_mae,test_mse,test_mae,best_epoch,epochs_ran,duration_seconds,status
ETTh1,192,2021,GraphMamba,etth1_p192_s2021_baseline_frozen,1.0019278769922155,0.6559226455361516,0.4205995798110962,0.42188531160354614,4,10,34.832,completed
ETTh1,192,2021,GraphMambaAF,etth1_p192_s2021_darc_frozen,0.9995445559915634,0.6546026001627782,0.42222797870635986,0.4215746819972992,4,10,36.604,completed
ETTh1,192,2022,GraphMamba,etth1_p192_s2022_baseline_frozen,1.0016515429812123,0.6584238026596377,0.4216444194316864,0.4232349097728729,3,9,32.393,completed
ETTh1,192,2022,GraphMambaAF,etth1_p192_s2022_darc_frozen,0.99711864314508,0.6552962646824846,0.42367881536483765,0.4238646924495697,3,9,33.898,completed
ETTh1,192,2023,GraphMamba,etth1_p192_s2023_baseline_frozen,0.9983437420991742,0.656084188886116,0.4228925406932831,0.42134490609169006,3,9,32.04,completed
ETTh1,192,2023,GraphMambaAF,etth1_p192_s2023_darc_frozen,0.997982751890595,0.655010754429335,0.42502647638320923,0.4214165210723877,3,9,33.554,completed
ETTh1,336,2021,GraphMamba,etth1_p336_s2021_baseline_frozen,1.2963819020440321,0.7586773398501714,0.4849391579627991,0.4450010657310486,1,7,26.704,completed
ETTh1,336,2021,GraphMambaAF,etth1_p336_s2021_darc_frozen,1.2972970422436534,0.7584180005959898,0.46162188053131104,0.4402836859226227,3,9,33.156,completed
ETTh1,336,2022,GraphMamba,etth1_p336_s2022_baseline_frozen,1.2946338136648323,0.7590130713040066,0.4664033353328705,0.4401164948940277,2,8,29.314,completed
ETTh1,336,2022,GraphMambaAF,etth1_p336_s2022_darc_frozen,1.2998476874173048,0.7605892791101583,0.46608081459999084,0.4399896562099457,2,8,30.705,completed
ETTh1,336,2023,GraphMamba,etth1_p336_s2023_baseline_frozen,1.2891463769861455,0.7569622805915711,0.46955060958862305,0.4417036771774292,2,8,29.294,completed
ETTh1,336,2023,GraphMambaAF,etth1_p336_s2023_darc_frozen,1.2896395023505474,0.7556260254669771,0.4795355498790741,0.4437471330165863,2,8,30.424,completed
ETTh1,720,2021,GraphMamba,etth1_p720_s2021_baseline_frozen,1.576863915033274,0.8539748044106197,0.4827408492565155,0.46631166338920593,1,7,26.256,completed
ETTh1,720,2021,GraphMambaAF,etth1_p720_s2021_darc_frozen,1.578746607714407,0.8539460899167144,0.47904106974601746,0.46330201625823975,1,7,27.253,completed
ETTh1,720,2022,GraphMamba,etth1_p720_s2022_baseline_frozen,1.57689561137003,0.8490496407040758,0.48194220662117004,0.4607401192188263,2,8,29.028,completed
ETTh1,720,2022,GraphMambaAF,etth1_p720_s2022_darc_frozen,1.5780006649717577,0.8488187878221337,0.4865661859512329,0.46239763498306274,2,8,30.34,completed
ETTh1,720,2023,GraphMamba,etth1_p720_s2023_baseline_frozen,1.5839717740778538,0.8549486368423276,0.48951369524002075,0.4673939347267151,1,7,26.471,completed
ETTh1,720,2023,GraphMambaAF,etth1_p720_s2023_darc_frozen,1.584890460708134,0.8546419288048688,0.4882744550704956,0.46611762046813965,1,7,27.407,completed
ETTh1,96,2021,GraphMamba,etth1_p96_s2021_baseline_frozen,0.6953477640829504,0.5498589354335136,0.37565165758132935,0.3935977518558502,4,10,36.121,completed
ETTh1,96,2021,GraphMambaAF,etth1_p96_s2021_darc_frozen,0.6926638670473962,0.5489316511614828,0.3722667396068573,0.39225074648857117,8,14,45.984,completed
ETTh1,96,2022,GraphMamba,etth1_p96_s2022_baseline_frozen,0.697837270389533,0.5522231345687492,0.37251368165016174,0.3943297863006592,7,13,42.032,completed
ETTh1,96,2022,GraphMambaAF,etth1_p96_s2022_darc_frozen,0.6955693401963811,0.5510485475365194,0.3721234202384949,0.39383864402770996,8,14,46.672,completed
ETTh1,96,2023,GraphMamba,etth1_p96_s2023_baseline_frozen,0.691905109044822,0.5486815487389647,0.37494298815727234,0.3933151066303253,4,10,34.489,completed
ETTh1,96,2023,GraphMambaAF,etth1_p96_s2023_darc_frozen,0.6898909877057339,0.5469703443582173,0.3723828196525574,0.3918280303478241,9,15,49.885,completed
ETTh2,192,2021,GraphMamba,etth2_p192_s2021_baseline_frozen,0.2752889357711078,0.35367822781357966,0.3709224760532379,0.39095932245254517,2,8,29.861,completed
ETTh2,192,2021,GraphMambaAF,etth2_p192_s2021_darc_frozen,0.2764136335240891,0.35389476880595044,0.370609849691391,0.39075568318367004,2,8,30.746,completed
ETTh2,192,2022,GraphMamba,etth2_p192_s2022_baseline_frozen,0.27724163866099666,0.35663351408196375,0.36361733078956604,0.3901212215423584,4,10,34.974,completed
ETTh2,192,2022,GraphMambaAF,etth2_p192_s2022_darc_frozen,0.2776471723835752,0.35661762123686847,0.3636758625507355,0.38998767733573914,4,10,37.102,completed
ETTh2,192,2023,GraphMamba,etth2_p192_s2023_baseline_frozen,0.27253944169687794,0.3561060467082847,0.37138986587524414,0.39720824360847473,3,9,32.503,completed
ETTh2,192,2023,GraphMambaAF,etth2_p192_s2023_darc_frozen,0.2731271725213999,0.35639148062560566,0.37034347653388977,0.39663273096084595,3,9,33.979,completed
ETTh2,336,2021,GraphMamba,etth2_p336_s2021_baseline_frozen,0.35899006094487157,0.4027100947167607,0.41261518001556396,0.4267609417438507,1,7,27.007,completed
ETTh2,336,2021,GraphMambaAF,etth2_p336_s2021_darc_frozen,0.35915343544097406,0.4024400599738299,0.41261932253837585,0.4261821508407593,1,7,27.955,completed
ETTh2,336,2022,GraphMamba,etth2_p336_s2022_baseline_frozen,0.3600666391042235,0.4034522309238344,0.4212362766265869,0.4297637939453125,1,7,26.874,completed
ETTh2,336,2022,GraphMambaAF,etth2_p336_s2022_darc_frozen,0.35964966285277006,0.4028896075597786,0.41927289962768555,0.42851537466049194,1,7,27.783,completed
ETTh2,336,2023,GraphMamba,etth2_p336_s2023_baseline_frozen,0.36342887247758876,0.40620595872535226,0.42013058066368103,0.4330880343914032,2,8,29.459,completed
