dataset,window,calibration_batches,evaluation_batches,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct,seasonal_energy,trend_energy,trend_roughness,alpha
ETTm1,7,169,169,0.9613812545765902,1.0121738769027253,-5.283296515751716,0.9547838559746484,0.6862416518457461,0.10436509518070526,0.8283245883219088,0.015933690294891216,"[0.1895904061745623, -0.03348304536118107, 0.20778576814914934, -0.03344342077166637, 0.5229253274522373, 0.0343311400488604, 0.28808181960372625]"
ETTm1,13,169,169,0.9613812545765902,0.9778487346365855,-1.712897976905936,0.9553455851678284,0.6278122628280273,0.1574294993740652,0.7328434377380516,0.007859486403756813,"[0.24482576050379457, 0.06725543142967948, 0.26632287033712254, 0.07176339918019121, 0.6284339009513447, 0.08068481644146364, 0.5167978050698857]"
ETTm1,25,169,169,0.9613812545765902,0.9613812545765902,0.0,0.9613812545765902,0.0,0.2517341250025479,0.5597460035309149,0.003540678172130489,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ETTm1,49,169,169,0.9613812545765902,1.1750862702083327,-22.228955954197595,0.9607913433432617,0.06136080046498611,0.4817519321909623,0.31487499105731137,0.0011399954838437936,"[0.01264789504252491, -0.11236308889299747, 0.009059021369297829, -0.12325639419094221, 0.04154160355516743, 0.07433897791804273, -0.6404704406705364]"
ETTm1,95,169,169,0.9613812545765902,2.541152126393931,-164.32303670338368,0.9601772528384999,0.1252366563586249,0.8061394260263883,0.14638288280813533,0.00027794112171441635,"[0.010652809376143194, 0.03055522414780799, 0.014361695470517173, -0.039109257744248935, 0.015381099025470564, 0.11245019068239495, -0.31917138307131043]"
ETTm2,7,169,169,0.29800839559346914,0.30420912855059623,-2.080724250999248,0.2969660957794645,0.34975518455746074,0.23376345076921143,0.684605402096635,0.022570341750919532,"[-0.029432873211928716, 0.651002405473513, 0.08186368915048439, 0.28187078269212634, 0.09169597052164251, 0.31444725013104047, -0.4428084447748972]"
ETTm2,13,169,169,0.29800839559346914,0.300342826520579,-0.7833440136681139,0.2972680481517489,0.24843173973198987,0.3309882573729953,0.5818901032401831,0.008662985291293505,"[-0.0375722118225347, 0.8284291511275783, 0.06514400544669306, 0.35311424151328386, 0.12983720732657747, 0.38160181653521913, -0.576432979552052]"
ETTm2,25,169,169,0.29800839559346914,0.29800839559346914,0.0,0.29800839559346914,0.0,0.4315623563279294,0.44964336442861136,0.0032153303632801995,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ETTm2,49,169,169,0.29800839559346914,0.3049128792238863,-2.316875541934729,0.2977992940794354,0.07016631649498796,0.5799650713218752,0.2770969864428665,0.001100225483592666,"[0.11942707689577896, -0.21227769440741173, -0.0462527299022359, 0.04280835472330894, 0.5049220593005039, -0.011769857337112492, 0.10722282322431226]"
ETTm2,95,169,169,0.29800839559346914,0.3194894779552797,-7.20821382197372,0.29770909128926876,0.10043485640877246,0.8355414486299335,0.1433108106128599,0.0002762272474080458,"[0.04742784273475497, -0.06977912979205275, 0.02247619015724993, 0.11416196343926625, 0.3926854322421147, -0.03673265246418568, -0.08278989115147119]"
