stage,candidate,dataset,pred_len,seed,best_mse,best_mae,best_epoch,epochs_ran,duration_seconds,recorded_at,log_path
baseline,baseline_1cbdfe9c,ETTh1,192,2021,1.0026120767873876,0.6533325689680436,4,10,34.364,2026-08-13T00:27:15.121380+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh1_96_192_seed2021.log
baseline,baseline_1cbdfe9c,ETTh1,336,2021,1.297001065313816,0.7587720699608326,1,7,26.38,2026-08-13T00:27:41.501924+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh1_96_336_seed2021.log
baseline,baseline_1cbdfe9c,ETTh1,720,2021,1.5769821826149435,0.8538666481480879,1,7,25.721,2026-08-13T00:28:07.224222+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh1_96_720_seed2021.log
baseline,baseline_1cbdfe9c,ETTh1,96,2021,0.6901069702580571,0.5527627583254467,21,27,80.731,2026-08-13T00:26:40.747629+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh1_96_96_seed2021.log
baseline,baseline_1cbdfe9c,ETTh2,192,2021,0.2731784198214026,0.35224103191319633,2,8,29.06,2026-08-13T00:29:09.883370+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh2_96_192_seed2021.log
baseline,baseline_1cbdfe9c,ETTh2,336,2021,0.3591665061190724,0.4024088494479656,1,7,26.052,2026-08-13T00:29:35.936101+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh2_96_336_seed2021.log
baseline,baseline_1cbdfe9c,ETTh2,720,2021,0.6170048481401276,0.5438126912888359,3,9,30.768,2026-08-13T00:30:06.714471+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh2_96_720_seed2021.log
baseline,baseline_1cbdfe9c,ETTh2,96,2021,0.21820582026107746,0.3169178512286056,4,10,33.597,2026-08-13T00:28:40.822491+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTh2_96_96_seed2021.log
baseline,baseline_1cbdfe9c,ETTm1,192,2021,0.5075876131863661,0.47717102799617067,4,10,118.152,2026-08-13T00:33:59.044983+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm1_96_192_seed2021.log
baseline,baseline_1cbdfe9c,ETTm1,336,2021,0.6515774394784655,0.5411775629861014,4,10,118.748,2026-08-13T00:35:57.794106+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm1_96_336_seed2021.log
baseline,baseline_1cbdfe9c,ETTm1,720,2021,0.9640012559806101,0.6564348957242345,4,10,121.208,2026-08-13T00:37:59.002992+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm1_96_720_seed2021.log
baseline,baseline_1cbdfe9c,ETTm1,96,2021,0.40060865296331866,0.41854006842860964,4,10,114.177,2026-08-13T00:32:00.892362+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm1_96_96_seed2021.log
baseline,baseline_1cbdfe9c,ETTm2,192,2021,0.1704942778802254,0.28426667821239415,1,7,85.742,2026-08-13T00:40:49.474775+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm2_96_192_seed2021.log
baseline,baseline_1cbdfe9c,ETTm2,336,2021,0.2241738809006555,0.32776854727949417,1,7,85.554,2026-08-13T00:42:15.029941+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm2_96_336_seed2021.log
baseline,baseline_1cbdfe9c,ETTm2,720,2021,0.29609421349665116,0.37389681854191614,1,7,87.037,2026-08-13T00:43:42.068654+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm2_96_720_seed2021.log
baseline,baseline_1cbdfe9c,ETTm2,96,2021,0.12891481746008943,0.24788958928938018,1,7,84.727,2026-08-13T00:39:23.731313+08:00,/home/cwh/Time-Series-Library/logs/graphmamba_ett_stage1/baseline/logs/baseline_1cbdfe9c_ETTm2_96_96_seed2021.log
