dataset,graph_alpha,variable,correction,base_mse,corrected_mse,corrected_improvement_pct
ETTm1,0.0,0,0.2221443004102637,0.7840476844244707,0.7838861636890835,0.02060088162951285
ETTm1,0.0,1,0.19838692684933576,1.1801491330313298,1.1798048730190713,0.02917089057840061
ETTm1,0.0,2,-0.03908565434837486,0.7795174696118143,0.7795155132634586,0.00025096914848265486
ETTm1,0.0,3,0.23542624702290393,1.0921102655222745,1.091713400381482,0.03633929222365041
ETTm1,0.0,4,0.5803089524922135,1.4368770271874212,1.4365004847253633,0.026205615020161138
ETTm1,0.0,5,-1.632930117389492,1.323951711215295,1.3218533921258528,0.15848909530967906
ETTm1,0.0,6,-1.576162396874154,0.13301549104352656,0.1327359928397546,0.21012455134304672
ETTm1,0.25,0,0.4136580043490264,0.7840476844244707,0.7839354089203339,0.0143199841498485
ETTm1,0.25,1,0.6458028343387616,1.1801491330313298,1.1794343636304172,0.06056602347168484
ETTm1,0.25,2,-0.06663933753802394,0.7795174696118143,0.7795172284542765,3.093677142965684e-05
ETTm1,0.25,3,0.5976539281889969,1.0921102655222745,1.0915636204351395,0.05005401967113264
ETTm1,0.25,4,0.6006830590831918,1.4368770271874212,1.4367767831562261,0.006976521253961328
ETTm1,0.25,5,-3.2735906077815367,1.323951711215295,1.3219524735096377,0.15100533416147646
ETTm1,0.25,6,-3.5524048882616706,0.13301549104352656,0.13270598384710883,0.23268507599347962
ETTm1,0.5,0,0.0,0.7840476844244707,0.7840476844244707,0.0
ETTm1,0.5,1,0.0,1.1801491330313298,1.1801491330313298,0.0
ETTm1,0.5,2,0.0,0.7795174696118143,0.7795174696118143,0.0
ETTm1,0.5,3,0.0,1.0921102655222745,1.0921102655222745,0.0
ETTm1,0.5,4,0.0,1.4368770271874212,1.4368770271874212,0.0
ETTm1,0.5,5,0.0,1.323951711215295,1.323951711215295,0.0
ETTm1,0.5,6,0.0,0.13301549104352656,0.13301549104352656,0.0
ETTm1,0.75,0,-0.33075495389416926,0.7840476844244707,0.7839813917232953,0.008455187419382653
ETTm1,0.75,1,-1.0437948619428397,1.1801491330313298,1.1789500609802261,0.10160343447643476
ETTm1,0.75,2,-0.018664108257672948,0.7795174696118143,0.7795163619048824,0.0001421016173645507
ETTm1,0.75,3,-1.0784430462900667,1.0921102655222745,1.09107317282974,0.09496226940404481
ETTm1,0.75,4,0.4998459449547413,1.4368770271874212,1.436812391185621,0.00449836698459144
ETTm1,0.75,5,3.3844829552734255,1.323951711215295,1.3221473894555646,0.13628304903009572
ETTm1,0.75,6,3.7512688151939977,0.13301549104352656,0.13275673394736556,0.19453154976988454
ETTm1,1.0,0,-0.15950416133924517,0.7840476844244707,0.7839796604382652,0.008676001161264473
ETTm1,1.0,1,-0.6741559955852546,1.1801491330313298,1.1783796021204045,0.14994129651903731
ETTm1,1.0,2,-0.05598836787334275,0.7795174696118143,0.7795025977780708,0.001907825587397862
ETTm1,1.0,3,-0.6975193299679374,1.0921102655222745,1.0905922933893015,0.1389944020210329
ETTm1,1.0,4,0.607761005424078,1.4368770271874212,1.4365290388664465,0.024218378774965424
ETTm1,1.0,5,1.7510017724216078,1.323951711215295,1.3222378618321902,0.12944953872461265
ETTm1,1.0,6,1.7295424333822307,0.13301549104352656,0.13282183586899227,0.1455884371173889
ETTm2,0.0,0,-0.19411383694878231,0.36754791035213324,0.36755223397682596,-0.0011763431571607766
ETTm2,0.0,1,1.3238853777413135,0.38045202247273374,0.38023263488945414,0.05766498016062714
ETTm2,0.0,2,-1.5894543733275945,0.11360935364062236,0.11183650625230918,1.5604766082211727
ETTm2,0.0,3,1.5756996764792146,0.5516064124147011,0.5505954098475611,0.18328332383126145
ETTm2,0.0,4,-1.6615159793492527,0.39584085801268876,0.39233577514975276,0.8854777853234234
ETTm2,0.0,5,0.6241811672584212,0.016822834228663118,0.016790283986830967,0.1934884537867641
ETTm2,0.0,6,1.3758122626435683,0.26017937803274205,0.25813319954065095,0.7864491442644621
ETTm2,0.25,0,-0.49851187376174033,0.36754791035213324,0.3675465724313574,0.00036401261934880866
ETTm2,0.25,1,1.0880283560111519,0.38045202247273374,0.38039964602916515,0.013766898445741632
ETTm2,0.25,2,-3.131349768785255,0.11360935364062236,0.11179830365677564,1.5941028848518677
ETTm2,0.25,3,3.218143405737242,0.5516064124147011,0.5505746215600378,0.1870520050966359
ETTm2,0.25,4,-3.4436838184215754,0.39584085801268876,0.39221729038631853,0.9154102091841346
ETTm2,0.25,5,1.2690671698476046,0.016822834228663118,0.016790750697774904,0.19071418318769037
ETTm2,0.25,6,2.7173282572536075,0.26017937803274205,0.25834733869095794,0.7041447157097735
ETTm2,0.5,0,0.0,0.36754791035213324,0.36754791035213324,0.0
ETTm2,0.5,1,0.0,0.38045202247273374,0.38045202247273374,0.0
ETTm2,0.5,2,0.0,0.11360935364062236,0.11360935364062236,0.0
ETTm2,0.5,3,0.0,0.5516064124147011,0.5516064124147011,0.0
ETTm2,0.5,4,0.0,0.39584085801268876,0.39584085801268876,0.0
ETTm2,0.5,5,0.0,0.016822834228663118,0.016822834228663118,0.0
ETTm2,0.5,6,0.0,0.26017937803274205,0.26017937803274205,0.0
ETTm2,0.75,0,0.7582006597567523,0.36754791035213324,0.3675259725260874,0.0059686983459795685
