dataset,seq_len,pred_len,validation_mse,ridge,train_samples,validation_samples,variable,variable_mse
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,HUFL,0.7746215557031192
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,HULL,1.081419361706625
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,MUFL,0.7893280222695862
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,MULL,1.0631453164128064
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,LUFL,1.380859366275149
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,LULL,1.025010717785593
ETTm1,96,720,0.8920824415937801,33.41654280561077,33505,10801,OT,0.130192751003582
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,HUFL,0.7178119798243485
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,HULL,1.0901818616742565
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,MUFL,0.7305445737004055
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,MULL,1.0704234758883828
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,LUFL,1.2949313680873908
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,LULL,1.0368695910270913
ETTm1,192,720,0.8659663227428736,33.38649553677465,33505,10801,OT,0.12100140899823934
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,HUFL,0.6793382572913642
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,HULL,1.103564034872561
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,MUFL,0.6969201889526544
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,MULL,1.0742835545744185
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,LUFL,1.294634814331064
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,LULL,1.0563840839099228
ETTm1,336,720,0.8598877392277349,33.3268356012959,33505,10801,OT,0.11408924066215924
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,HUFL,0.3824036335652574
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,HULL,0.8570170982454588
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,MUFL,0.10232443011896288
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,MULL,1.3129218308331048
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,LUFL,0.3683849857599403
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,LULL,0.018191880860705365
ETTm2,96,720,0.46927783839749804,33.95454976975471,33505,10801,OT,0.2437010093990565
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,HUFL,0.3543928941819407
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,HULL,0.7640322950124322
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,MUFL,0.09700031742687429
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,MULL,1.2642426149186992
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,LUFL,0.36216486604127457
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,LULL,0.017675956608753627
ETTm2,192,720,0.44012101591320646,33.91118256797306,33505,10801,OT,0.2213381672024706
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,HUFL,0.3262352423232183
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,HULL,0.6570326889599097
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,MUFL,0.0931191715041793
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,MULL,1.195622282716659
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,LUFL,0.35514183358365015
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,LULL,0.01732223538881651
ETTm2,336,720,0.40710082580872226,33.85123980348681,33505,10801,OT,0.2052323261846233
