dataset,short_scale,long_scale,validation_mse,ridge,vs_current_improvement_pct
ETTm1,2,4,0.8923022104806477,33.016078125,0.0
ETTm1,4,8,0.8925750045122368,32.468822265625,-0.0305719327358992
ETTm1,8,16,0.8931870050374364,31.49140625,-0.09915861984832348
ETTm1,16,32,0.8941665276837184,29.781810546875,-0.20893338391109018
ETTm1,24,48,0.894967597589645,28.533208984375,-0.29870901110527126
ETTm2,2,4,0.47253875590813516,33.63937109375,0.0
ETTm2,4,8,0.4726735388161726,33.30072265625,-0.028523143626260728
ETTm2,8,16,0.4730772319653119,32.8907421875,-0.11395383985846047
ETTm2,16,32,0.4735895761440056,32.386685546875,-0.22237757702031302
ETTm2,24,48,0.47422647762790654,32.0448125,-0.35716048655689303
