dataset,variant,variable,coefficient,base_mse,corrected_mse,corrected_improvement_pct
ETTm1,current,HUFL,0.0,0.7840476844244707,0.7840476844244707,0.0
ETTm1,current,HULL,0.0,1.1801491330313298,1.1801491330313298,0.0
ETTm1,current,MUFL,0.0,0.7795174696118143,0.7795174696118143,0.0
ETTm1,current,MULL,0.0,1.0921102655222745,1.0921102655222745,0.0
ETTm1,current,LUFL,0.0,1.4368770271874212,1.4368770271874212,0.0
ETTm1,current,LULL,0.0,1.323951711215295,1.323951711215295,0.0
ETTm1,current,OT,0.0,0.13301549104352656,0.13301549104352656,0.0
ETTm1,sample,HUFL,0.8978602700565489,0.7840476844244707,0.7815485872671175,0.31874300594199845
ETTm1,sample,HULL,0.34886250823931875,1.1801491330313298,1.180197054896133,-0.00406066178093753
ETTm1,sample,MUFL,1.3491449692773057,0.7795174696118143,0.7755074214848776,0.5144269735139687
ETTm1,sample,MULL,0.47469695642936466,1.0921102655222745,1.092088965065265,0.001950394358701205
ETTm1,sample,LUFL,0.9260657986056319,1.4368770271874212,1.4341062385703047,0.19283408146207529
ETTm1,sample,LULL,1.8347907461709685,1.323951711215295,1.318495806283743,0.41209244153956065
ETTm1,sample,OT,0.978635360044096,0.13301549104352656,0.13283707826294402,0.13412932522584914
ETTm1,sample_patch,HUFL,1.007093820629685,0.7840476844244707,0.7810249037086932,0.38553531575014083
ETTm1,sample_patch,HULL,-0.030538559300477042,1.1801491330313298,1.1801329853398828,0.0013682754996914008
ETTm1,sample_patch,MUFL,1.7027768464107416,0.7795174696118143,0.7739532083393287,0.7138084121779287
ETTm1,sample_patch,MULL,0.01807939660730798,1.0921102655222745,1.092115863659054,-0.000512598128248068
ETTm1,sample_patch,LUFL,1.0161302788265467,1.4368770271874212,1.4339013777118739,0.2070914503638424
ETTm1,sample_patch,LULL,1.952508391145452,1.323951711215295,1.3183688104893283,0.42168461875712715
ETTm1,sample_patch,OT,1.029428435009133,0.13301549104352656,0.13284130350797171,0.1309528192455746
ETTm2,current,HUFL,0.0,0.36754791035213324,0.36754791035213324,0.0
ETTm2,current,HULL,0.0,0.38045202247273374,0.38045202247273374,0.0
ETTm2,current,MUFL,0.0,0.11360935364062236,0.11360935364062236,0.0
ETTm2,current,MULL,0.0,0.5516064124147011,0.5516064124147011,0.0
ETTm2,current,LUFL,0.0,0.39584085801268876,0.39584085801268876,0.0
ETTm2,current,LULL,0.0,0.016822834228663118,0.016822834228663118,0.0
ETTm2,current,OT,0.0,0.26017937803274205,0.26017937803274205,0.0
ETTm2,sample,HUFL,1.7835560513836957,0.36754791035213324,0.365965094245127,0.4306421183267754
ETTm2,sample,HULL,1.8979921635835821,0.38045202247273374,0.3772957063210586,0.8296226502255937
ETTm2,sample,MUFL,1.5890016442675399,0.11360935364062236,0.11147079604095188,1.882378106326813
ETTm2,sample,MULL,0.027241463514863788,0.5516064124147011,0.5516049488687919,0.0002653243102876184
ETTm2,sample,LUFL,1.4976961636820052,0.39584085801268876,0.391712830951068,1.0428501702288695
ETTm2,sample,LULL,-0.26478949766495,0.016822834228663118,0.01680555956140447,0.10268583179174309
ETTm2,sample,OT,-1.1680936421625119,0.26017937803274205,0.2569342520134546,1.247264884643958
ETTm2,sample_patch,HUFL,2.0161468905507625,0.36754791035213324,0.365638894775955,0.5193923084338249
ETTm2,sample_patch,HULL,2.0128036859269103,0.38045202247273374,0.3771553666884422,0.8665102534782353
ETTm2,sample_patch,MUFL,1.671208360995025,0.11360935364062236,0.11132542282327287,2.0103369521616896
ETTm2,sample_patch,MULL,0.023052652504359526,0.5516064124147011,0.5516058253621376,0.00010642598603596009
ETTm2,sample_patch,LUFL,1.5124653661585394,0.39584085801268876,0.39160597288344395,1.0698453794047336
ETTm2,sample_patch,LULL,-0.2729174479531429,0.016822834228663118,0.016805141787451832,0.1051692061563633
ETTm2,sample_patch,OT,-1.1696311748718589,0.26017937803274205,0.25689457903334967,1.2625132030944464
