dataset,variable,baseline_mse,tirge_mse,mse_improvement_pct,baseline_mae,tirge_mae
ETTm1,HUFL,0.7886535878728838,0.8114598053248189,-2.891791504232788,0.6548843430094886,0.6617678543274631
ETTm1,HULL,1.1889429597748955,1.2151058844086502,-2.2005197489632438,0.7673872937735157,0.7772463235524585
ETTm1,MUFL,0.7807368236092386,0.8002252713316556,-2.496160951180012,0.6377954916796139,0.6427658732318622
ETTm1,MULL,1.1103900080745803,1.1383928288884566,-2.521890561896649,0.7115686116403349,0.7192763767211626
ETTm1,LUFL,1.4235588761332703,1.4036214625942476,1.4005331197243844,0.7961600134761184,0.7851972418611655
ETTm1,LULL,1.3194832190258232,1.3325882931685853,-0.9931974847272081,0.7414033925382826,0.7444381808833367
ETTm1,OT,0.1330943718655447,0.14079121140916012,-5.782994003225737,0.2858281243583112,0.29325510828764006
ETTm2,HUFL,0.3661333628454943,0.36631467604343076,-0.04952108065961041,0.4709679301401732,0.4726466010593959
ETTm2,HULL,0.38018169809821817,0.36731847063706247,3.3834420556016735,0.43592322053985727,0.429274257540655
ETTm2,MUFL,0.11368579939650811,0.11453020625418617,-0.7427549106049525,0.2573673428138124,0.2589076741599246
ETTm2,MULL,0.5527933011222116,0.5419246741747726,1.9661285557141939,0.5558104623629483,0.5535075982387176
ETTm2,LUFL,0.38368957514508245,0.3770002602782829,1.7434184559927604,0.405511791498175,0.4013002376303088
ETTm2,LULL,0.016565365259539624,0.017612679237252942,-6.322311408800315,0.09754304215116559,0.09914558712888133
ETTm2,OT,0.2591907690642914,0.2585542596404718,0.24557565306722548,0.39448720358697575,0.3937801887596892
