dataset,horizon,model,mse_mean,mse_sample_std,mae_mean,mae_sample_std
ETTm1,96,PatchTSTRecent,0.3390248715877533,0.006190444980508411,0.37457571427027386,0.007796075957558504
ETTm1,96,PatchTSTIRPA,0.29208208123842877,0.003809722820392519,0.34531862537066144,0.002389759954653543
ETTm1,96,PatchTSTCMRHM,0.3146936496098836,0.01221355798948496,0.36352208256721497,0.005656135447293805
ETTm1,720,PatchTSTRecent,0.4665374755859375,0.0012282778783146192,0.451825092236201,0.00223465745443367
ETTm1,720,PatchTSTIRPA,0.4317760268847148,0.0017368411735274223,0.4231226046880086,0.0007850286340327829
ETTm1,720,PatchTSTCMRHM,0.4349662959575653,0.0015780482162548702,0.44175957640012103,0.00044060731732578157
weather,96,PatchTSTRecent,0.1746587653954824,0.0009502222570854484,0.21658719579378763,0.0016785618561789362
weather,96,PatchTSTIRPA,0.16623449822266897,0.0006305553411879538,0.2163009742895762,0.0011981042656753521
weather,96,PatchTSTCMRHM,0.153654083609581,0.0003856416967288444,0.20974121491114298,0.0003099539374152368
weather,720,PatchTSTRecent,0.35284088055292767,0.000498062778340695,0.3461379011472066,0.00020140638858275918
weather,720,PatchTSTIRPA,0.3191183805465698,0.00029089050147169704,0.33640746275583905,0.00019562704868760484
weather,720,PatchTSTCMRHM,0.31066855788230896,0.001121003843550018,0.3353666067123413,0.00100179685155285
