dataset,horizon,seed,model,test_mse,test_mae,duration_seconds
ETTm1,96,2021,PatchTSTRecent,0.33402931690216064,0.36810505390167236,71.448
ETTm1,96,2021,PatchTSTIRPA,0.290206640958786,0.3437724709510803,126.1
ETTm1,96,2021,PatchTSTCMRHM,0.32835015654563904,0.3696270287036896,75.855
ETTm1,96,2022,PatchTSTRecent,0.3459503948688507,0.3832310736179352,58.413
ETTm1,96,2022,PatchTSTIRPA,0.2964659631252289,0.3480710983276367,111.848
ETTm1,96,2022,PatchTSTCMRHM,0.3109143078327179,0.3624793589115143,104.077
ETTm1,96,2023,PatchTSTRecent,0.33709490299224854,0.372391015291214,58.365
ETTm1,96,2023,PatchTSTIRPA,0.28957363963127136,0.3441123068332672,141.277
ETTm1,96,2023,PatchTSTCMRHM,0.30481648445129395,0.35845986008644104,103.119
ETTm1,720,2021,PatchTSTRecent,0.46602851152420044,0.4535011947154999,87.738
ETTm1,720,2021,PatchTSTIRPA,0.433767169713974,0.4239863157272339,147.588
ETTm1,720,2021,PatchTSTCMRHM,0.43504586815834045,0.44156426191329956,93.201
ETTm1,720,2022,PatchTSTRecent,0.4656454920768738,0.452686071395874,87.743
ETTm1,720,2022,PatchTSTIRPA,0.4305727779865265,0.42245247960090637,146.484
ETTm1,720,2022,PatchTSTCMRHM,0.43334996700286865,0.4414503872394562,122.167
ETTm1,720,2023,PatchTSTRecent,0.4679384231567383,0.449288010597229,61.623
ETTm1,720,2023,PatchTSTIRPA,0.4309881329536438,0.4229290187358856,162.325
ETTm1,720,2023,PatchTSTCMRHM,0.4365030527114868,0.4422640800476074,109.148
weather,96,2021,PatchTSTRecent,0.17467080056667328,0.21650180220603943,217.859
weather,96,2021,PatchTSTIRPA,0.16580021381378174,0.2157282680273056,259.976
weather,96,2021,PatchTSTCMRHM,0.1538841724395752,0.21007566154003143,247.731
weather,96,2022,PatchTSTRecent,0.17370258271694183,0.2149529606103897,240.436
weather,96,2022,PatchTSTIRPA,0.16695775091648102,0.21767795085906982,212.952
weather,96,2022,PatchTSTCMRHM,0.15386921167373657,0.209684357047081,248.029
weather,96,2023,PatchTSTRecent,0.17560291290283203,0.21830682456493378,148.024
weather,96,2023,PatchTSTIRPA,0.16594552993774414,0.2154967039823532,260.969
weather,96,2023,PatchTSTCMRHM,0.1532088667154312,0.20946362614631653,248.001
weather,720,2021,PatchTSTRecent,0.3523859977722168,0.3460545837879181,250.494
weather,720,2021,PatchTSTIRPA,0.31890642642974854,0.3362589478492737,273.617
weather,720,2021,PatchTSTCMRHM,0.3103893995285034,0.3349427580833435,209.01
weather,720,2022,PatchTSTRecent,0.35337308049201965,0.34636759757995605,250.718
weather,720,2022,PatchTSTIRPA,0.3194500207901001,0.33662912249565125,219.588
weather,720,2022,PatchTSTCMRHM,0.3119027614593506,0.33651065826416016,257.428
weather,720,2023,PatchTSTRecent,0.3527635633945465,0.3459915220737457,250.546
weather,720,2023,PatchTSTIRPA,0.31899869441986084,0.33633431792259216,272.03
weather,720,2023,PatchTSTCMRHM,0.3097135126590729,0.33464640378952026,258.137
