dataset,horizon,model,batch_size,warmup,repeats,parameters,trainable_parameters,latency_ms_mean,latency_ms_sample_std,latency_ms_median,peak_memory_mib,incremental_peak_mib
ETTm1,96,PatchTSTRecent,32,10,30,10056288,10056288,2.4470656077067057,0.3092081916166866,2.3280640840530396,135.8671875,78.6669921875
ETTm1,96,PatchTSTIRPA,32,10,30,10121198,10121198,3.023258662223816,0.3425893146306631,2.9046239852905273,136.5732421875,78.7490234375
ETTm1,96,PatchTSTCMRHM,32,10,30,10064167,10064167,2.606336005528768,0.49112175215339016,2.370384097099304,136.27294921875,78.6669921875
ETTm1,720,PatchTSTRecent,32,10,30,13890768,13890768,2.3541909217834474,0.29509708534414125,2.222432017326355,151.56103515625,79.2001953125
ETTm1,720,PatchTSTIRPA,32,10,30,14705726,14705726,3.2555989265441894,0.61702552616868,2.9767680168151855,155.61376953125,79.8154296875
ETTm1,720,PatchTSTCMRHM,32,10,30,13918615,13918615,2.552462919553121,0.28305712704440517,2.4235680103302,151.66796875,79.2001953125
Weather,96,PatchTSTRecent,32,10,30,6903904,6903904,5.6382666746775305,0.7230562876994961,5.4792640209198,239.6845703125,192.248046875
Weather,96,PatchTSTIRPA,32,10,30,6968842,6968842,6.290272013346354,0.5073228250097694,6.190080165863037,239.9296875,192.244140625
Weather,96,PatchTSTCMRHM,32,10,30,6911797,6911797,5.714335982004801,0.41169525940130075,5.5930399894714355,239.71533203125,192.248046875
Weather,720,PatchTSTRecent,32,10,30,10738384,10738384,5.626369031270345,0.38631795810759606,5.485872030258179,257.56591796875,193.84765625
Weather,720,PatchTSTIRPA,32,10,30,11553370,11553370,6.48298454284668,0.3862799126392893,6.450639963150024,262.33349609375,195.443359375
Weather,720,PatchTSTCMRHM,32,10,30,10766245,10766245,5.821623468399048,0.4138538845244941,5.699648141860962,257.6728515625,193.84765625
