model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,quality,duration_seconds,result_source
DLinear,ETTh1,96,2021,336,0.6640702168615575,0.5508616649076207,0.37573182582855225,0.39949414134025574,valid,15.002,q2_same_protocol_local_run
DLinear,ETTh1,192,2021,336,0.8788049756276263,0.6337061829006174,0.4080449938774109,0.4185616075992584,valid,16.505,q2_same_protocol_local_run
DLinear,ETTh1,336,2021,336,1.062974090859637,0.7063634519914916,0.4354754686355591,0.44115641713142395,valid,11.839,q2_same_protocol_local_run
DLinear,ETTh1,720,2021,336,1.2084184747379594,0.7534531813229013,0.4734968841075897,0.4937613010406494,valid,11.695,q2_same_protocol_local_run
DLinear,ETTh2,96,2021,336,0.22878637224973405,0.3368496564389131,0.30743247270584106,0.37010079622268677,valid,11.441,q2_same_protocol_local_run
DLinear,ETTh2,192,2021,336,0.30386188880618986,0.3878565298858428,0.3872776925563812,0.4234202206134796,valid,13.204,q2_same_protocol_local_run
DLinear,ETTh2,336,2021,336,0.4090833462022456,0.4463421813500695,0.47800058126449585,0.4805224537849426,valid,10.639,q2_same_protocol_local_run
DLinear,ETTh2,720,2021,336,0.6817900922938106,0.5704228733757887,0.7433660626411438,0.6114161014556885,valid,10.336,q2_same_protocol_local_run
DLinear,ETTm1,96,2021,336,0.38044688903404744,0.40741878557220107,0.3006940186023712,0.34502002596855164,valid,34.2,q2_same_protocol_local_run
DLinear,ETTm1,192,2021,336,0.4893370390332196,0.46204242686496505,0.3343106210231781,0.36446601152420044,valid,46.485,q2_same_protocol_local_run
DLinear,ETTm1,336,2021,336,0.6168415827754046,0.5194010285256188,0.37064096331596375,0.3870218098163605,valid,31.597,q2_same_protocol_local_run
DLinear,ETTm1,720,2021,336,0.8515061793461308,0.6122338717466086,0.4281170964241028,0.4257969260215759,valid,36.455,q2_same_protocol_local_run
DLinear,ETTm2,96,2021,336,0.11558398248603521,0.235442997438654,0.1651681512594223,0.25863587856292725,valid,28.99,q2_same_protocol_local_run
DLinear,ETTm2,192,2021,336,0.16096506578597206,0.27950890197153583,0.23180167376995087,0.3116718828678131,valid,36.811,q2_same_protocol_local_run
DLinear,ETTm2,336,2021,336,0.21386123544052071,0.3236835430329793,0.3044562041759491,0.3659506142139435,valid,24.233,q2_same_protocol_local_run
DLinear,ETTm2,720,2021,336,0.2991136655514678,0.3841621615912851,0.4321652054786682,0.44862401485443115,valid,38.22,q2_same_protocol_local_run
DLinear,weather,96,2021,336,0.42412663217209184,0.30646488559144597,0.17540287971496582,0.2379530668258667,valid,40.184,q2_same_protocol_local_run
DLinear,weather,192,2021,336,0.48312806398670355,0.3497977133697366,0.216544970870018,0.27575409412384033,valid,30.945,q2_same_protocol_local_run
DLinear,weather,336,2021,336,0.5439860948719766,0.3935146915077771,0.26320838928222656,0.3154686987400055,valid,32.597,q2_same_protocol_local_run
DLinear,weather,720,2021,336,0.6134370063025424,0.4375314589074593,0.32831162214279175,0.37042346596717834,valid,29.718,q2_same_protocol_local_run
PatchTST,ETTh1,96,2021,336,0.7082322545201185,0.574217842684512,0.38793671131134033,0.4136544466018677,valid,57.761,q2_same_protocol_local_run
PatchTST,ETTh1,192,2021,336,1.0033307478374647,0.6842143693732199,0.4672151505947113,0.46933355927467346,valid,54.745,q2_same_protocol_local_run
PatchTST,ETTh1,336,2021,336,1.2997503333126594,0.8010328639913111,0.5198085308074951,0.4975692927837372,valid,29.787,q2_same_protocol_local_run
PatchTST,ETTh1,720,2021,336,1.453987497865296,0.8455296473078858,0.6020058989524841,0.55146324634552,valid,31.795,q2_same_protocol_local_run
PatchTST,ETTh2,96,2021,336,0.22763042202095318,0.33381540096752904,0.3287414014339447,0.37361940741539,valid,76.964,q2_same_protocol_local_run
PatchTST,ETTh2,192,2021,336,0.2893273179659323,0.3746180984017978,0.38332265615463257,0.4143175780773163,valid,79.709,q2_same_protocol_local_run
PatchTST,ETTh2,336,2021,336,0.3836265399493847,0.42600460556966524,0.4365095794200897,0.45060980319976807,valid,63.104,q2_same_protocol_local_run
PatchTST,ETTh2,720,2021,336,0.6638220624694714,0.5706657163934475,0.47928106784820557,0.48215165734291077,valid,73.847,q2_same_protocol_local_run
PatchTST,ETTm1,96,2021,336,0.38766136220908354,0.42374557528108736,0.3083574175834656,0.3601812422275543,valid,234.968,q2_same_protocol_local_run
PatchTST,ETTm1,192,2021,336,0.5332435654706175,0.49237733868385036,0.36092236638069153,0.38516297936439514,valid,234.654,q2_same_protocol_local_run
PatchTST,ETTm1,336,2021,336,0.6904065842013493,0.5606295124428292,0.38072270154953003,0.4087817370891571,valid,228.723,q2_same_protocol_local_run
PatchTST,ETTm1,720,2021,336,0.9893082487757876,0.6640785784940731,0.42810752987861633,0.4341244399547577,valid,337.971,q2_same_protocol_local_run
PatchTST,ETTm2,96,2021,336,0.12731277067636193,0.2465958013452067,0.18278561532497406,0.2718676030635834,valid,486.556,q2_same_protocol_local_run
PatchTST,ETTm2,192,2021,336,0.1755568497907762,0.28994659034652326,0.23593144118785858,0.3088909983634949,valid,413.244,q2_same_protocol_local_run
PatchTST,ETTm2,336,2021,336,0.22243880589646453,0.32833772052786947,0.3074813485145569,0.35819968581199646,valid,340.025,q2_same_protocol_local_run
PatchTST,ETTm2,720,2021,336,0.28931239006365195,0.37335828707461866,0.3929193317890167,0.4073752760887146,valid,344.524,q2_same_protocol_local_run
PatchTST,weather,96,2021,336,0.40259583516424763,0.2905669207968199,0.15609146654605865,0.2066209763288498,valid,833.049,q2_same_protocol_local_run
PatchTST,weather,192,2021,336,0.4606904377744765,0.32472849580546026,0.2032547891139984,0.24802222847938538,valid,1148.508,q2_same_protocol_local_run
PatchTST,weather,336,2021,336,0.5510592690651119,0.38751847162291336,0.2578624188899994,0.29025477170944214,valid,1170.105,q2_same_protocol_local_run
PatchTST,weather,720,2021,336,0.6601562303583709,0.45158151184812134,0.32868510484695435,0.3393954634666443,valid,855.083,q2_same_protocol_local_run
iTransformer,ETTh1,96,2021,336,0.6994300310862638,0.5684320621045317,0.39698174595832825,0.4154851734638214,valid,20.967,q2_same_protocol_local_run
iTransformer,ETTh1,192,2021,336,0.9507217670010963,0.6677384376441436,0.44185370206832886,0.4458799362182617,valid,13.862,q2_same_protocol_local_run
iTransformer,ETTh1,336,2021,336,1.1769733563397118,0.7497368163866726,0.4597512185573578,0.45980584621429443,valid,12.053,q2_same_protocol_local_run
iTransformer,ETTh1,720,2021,336,1.4512248581225256,0.8422451743066114,0.5017585754394531,0.5049786567687988,valid,12.398,q2_same_protocol_local_run
iTransformer,ETTh2,96,2021,336,0.23473025225182523,0.3380463944955535,0.3030342757701874,0.36060434579849243,valid,12.244,q2_same_protocol_local_run
iTransformer,ETTh2,192,2021,336,0.30374823044024013,0.3786055141267187,0.39515653252601624,0.41391101479530334,valid,13.898,q2_same_protocol_local_run
iTransformer,ETTh2,336,2021,336,0.3909669091190627,0.43070903876116384,0.416001558303833,0.4313390851020813,valid,14.35,q2_same_protocol_local_run
iTransformer,ETTh2,720,2021,336,0.6331431359455224,0.56032362664223,0.43360763788223267,0.45296162366867065,valid,13.997,q2_same_protocol_local_run
iTransformer,ETTm1,96,2021,336,0.3753420664874839,0.41120604208910155,0.3057343065738678,0.3584446310997009,valid,45.222,q2_same_protocol_local_run
iTransformer,ETTm1,192,2021,336,0.4911343895117139,0.46925262741247864,0.3463185727596283,0.3824487626552582,valid,40.31,q2_same_protocol_local_run
iTransformer,ETTm1,336,2021,336,0.6404715468604603,0.5344267299208114,0.37889328598976135,0.4024980068206787,valid,41.72,q2_same_protocol_local_run
