model,dataset,horizon,n_seeds,seeds,quality,diverged_seeds,test_mse_mean,test_mse_std,mse_rank,test_mae_mean,test_mae_std,mae_rank
DLinear,ETTh1,96,3,2021;2022;2023,valid,,0.3753785192966461,0.00033017489942662457,2,0.39906320969263714,0.00039591701675986425,2
PatchTST,ETTh1,96,3,2021;2022;2023,valid,,0.398695429166158,0.01307367614443447,6,0.4205044011274974,0.009502087168102058,6
iTransformer,ETTh1,96,3,2021;2022;2023,valid,,0.3986673951148987,0.0014672215061098972,5,0.41721490025520325,0.0015053392870761034,4
TimeMixer,ETTh1,96,3,2021;2022;2023,valid,,0.38901766141255695,0.005536981828266924,3,0.4077485303084056,0.003117053917736963,3
TimesNet,ETTh1,96,3,2021;2022;2023,valid,,0.4372558792432149,0.009747365934101108,8,0.449728121360143,0.004805952701923853,8
SMamba,ETTh1,96,3,2021;2022;2023,valid,,0.3971778055032094,0.0008564033984854485,4,0.41724951068560284,0.0008503918124881964,5
MSGNet,ETTh1,96,3,2021;2022;2023,valid,,0.42233263452847797,0.0034783954023976053,7,0.44115965565045673,0.0035246494963300313,7
TimeRole,ETTh1,96,3,2021;2022;2023,valid,,0.36871305108070374,0.00037558504221739175,1,0.39779044191042584,0.00016400205102644295,1
DLinear,ETTh1,192,3,2021;2022;2023,valid,,0.4082970817883809,0.00044460210607627667,1,0.418861190478007,0.0005047129159336513,1
PatchTST,ETTh1,192,3,2021;2022;2023,valid,,0.46226335565249127,0.005402739539610522,7,0.4610746204853058,0.008630988651446398,6
iTransformer,ETTh1,192,3,2021;2022;2023,valid,,0.4419982930024465,0.0021617499908797503,5,0.4456833004951477,0.0012464867892893782,5
TimeMixer,ETTh1,192,3,2021;2022;2023,valid,,0.43713069955507916,0.020059611541515577,4,0.437466303507487,0.011467731856215663,3
TimesNet,ETTh1,192,3,2021;2022;2023,valid,,0.465985228617986,0.02346043497270739,8,0.46820058425267536,0.01642521324403269,8
SMamba,ETTh1,192,3,2021;2022;2023,valid,,0.43389685948689777,0.0010637148103434192,3,0.4410418172677358,0.000891147940892452,4
MSGNet,ETTh1,192,3,2021;2022;2023,valid,,0.4544782141844432,0.004979517533687992,6,0.4645124574502309,0.002004013417932132,7
TimeRole,ETTh1,192,3,2021;2022;2023,valid,,0.4146342873573303,0.0035751041839359016,2,0.4256414473056793,0.0006779487006615827,2
DLinear,ETTh1,336,3,2021;2022;2023,valid,,0.43885111808776855,0.00323030761665797,1,0.4450935622056325,0.0036887874607972803,2
PatchTST,ETTh1,336,3,2021;2022;2023,valid,,0.5277700424194336,0.021712296885961494,8,0.5027438998222351,0.01131271501967961,8
iTransformer,ETTh1,336,3,2021;2022;2023,valid,,0.4639147420724233,0.005648803164047516,4,0.4621309737364451,0.003880340651231008,4
TimeMixer,ETTh1,336,3,2021;2022;2023,valid,,0.4738578100999196,0.05325806150330713,5,0.4654601713021596,0.02922847225693296,5
TimesNet,ETTh1,336,3,2021;2022;2023,valid,,0.5189224580923716,0.03034849385813859,7,0.5023941596349081,0.01825174362377989,7
SMamba,ETTh1,336,3,2021;2022;2023,valid,,0.45159026980400085,0.0012880926685485592,3,0.4545808434486389,0.0006181394605977766,3
MSGNet,ETTh1,336,3,2021;2022;2023,valid,,0.4809270699818929,0.00910549172505423,6,0.4794420003890991,0.006430658177631631,6
TimeRole,ETTh1,336,3,2021;2022;2023,valid,,0.4485903282960256,0.015676500146393223,2,0.44318317373593646,0.003928930271329137,1
DLinear,ETTh1,720,3,2021;2022;2023,valid,,0.4715297917524974,0.0017081573445053037,2,0.49193958441416424,0.0015782179710320074,2
PatchTST,ETTh1,720,3,2021;2022;2023,valid,,0.6574230194091797,0.05367262818357385,7,0.5707869132359823,0.019280490265251696,7
iTransformer,ETTh1,720,3,2021;2022;2023,valid,,0.5058523019154867,0.004955583520286354,3,0.507473905881246,0.0029180004095334215,3
TimeMixer,ETTh1,720,3,2021;2022;2023,valid,,0.7263372937838236,0.03185137447968552,8,0.593246320883433,0.011400726404120879,8
TimesNet,ETTh1,720,3,2021;2022;2023,valid,,0.5886087417602539,0.03244286902047405,6,0.5368757247924805,0.015773997574399196,6
SMamba,ETTh1,720,3,2021;2022;2023,valid,,0.511461873849233,0.001090187307259419,4,0.5089071790377299,0.0003023625682883086,4
MSGNet,ETTh1,720,3,2021;2022;2023,valid,,0.524219274520874,0.009744677806343001,5,0.5155232747395834,0.007284869365632681,5
TimeRole,ETTh1,720,3,2021;2022;2023,valid,,0.45430328448613483,0.013215334565635688,1,0.4583997925122579,0.007249257059913,1
DLinear,ETTh2,96,3,2021;2022;2023,valid,,0.3035442729791005,0.0044269373532814784,5,0.3669528166453044,0.004084604710426614,5
PatchTST,ETTh2,96,3,2021;2022;2023,valid,,0.3232833445072174,0.005956019188355422,6,0.3717309931914012,0.004356916551982559,6
iTransformer,ETTh2,96,3,2021;2022;2023,valid,,0.3021496931711833,0.0016964096468852796,4,0.35928799708684284,0.0019102208265628427,4
TimeMixer,ETTh2,96,3,2021;2022;2023,valid,,0.28345707058906555,0.0025188802443668074,2,0.3485197126865387,0.002543804895000428,2
TimesNet,ETTh2,96,3,2021;2022;2023,valid,,0.3632261057694753,0.009446795564732519,7,0.4138830800851186,0.007283756417418947,7
SMamba,ETTh2,96,3,2021;2022;2023,valid,,0.300771027803421,0.001392269120091375,3,0.3577432930469513,0.00048050586326639196,3
MSGNet,ETTh2,96,3,2021;2022;2023,valid,,0.3695240517457326,0.0012219365640415663,8,0.4144369165102641,0.0015374848173233056,8
TimeRole,ETTh2,96,3,2021;2022;2023,valid,,0.2827672561009725,0.0018058090907560936,1,0.34276752670605976,0.0015674863640224915,1
DLinear,ETTh2,192,3,2021;2022;2023,valid,,0.39729469021161395,0.008753328399991087,6,0.4287119110425313,0.004707901278687393,6
PatchTST,ETTh2,192,3,2021;2022;2023,valid,,0.38926494121551514,0.007820499230108137,5,0.42134780685106915,0.010206330614903352,5
iTransformer,ETTh2,192,3,2021;2022;2023,valid,,0.38758038481076557,0.007613724433257708,4,0.4103555182615916,0.003447706814373915,4
TimeMixer,ETTh2,192,3,2021;2022;2023,valid,,0.36069634556770325,0.008779968105300904,2,0.39974162975947064,0.0060243940782798355,3
TimesNet,ETTh2,192,3,2021;2022;2023,valid,,0.4072735706965129,0.011369555773823528,8,0.4390108684698741,0.0036156139668851277,8
SMamba,ETTh2,192,3,2021;2022;2023,valid,,0.3656950891017914,0.00610687801512178,3,0.3980270226796468,0.002647051053149211,2
MSGNet,ETTh2,192,3,2021;2022;2023,valid,,0.39805973569552106,0.003982790334101894,7,0.4293422003587087,0.002715957575434553,7
TimeRole,ETTh2,192,3,2021;2022;2023,valid,,0.343898077805837,0.007229526349334643,1,0.3864717483520508,0.005721531606683194,1
DLinear,ETTh2,336,3,2021;2022;2023,valid,,0.481892466545105,0.008221006011927809,8,0.48217764496803284,0.0046503951125235095,8
PatchTST,ETTh2,336,3,2021;2022;2023,valid,,0.428454448779424,0.008497258827268603,7,0.4443492492039998,0.005737767661637009,7
iTransformer,ETTh2,336,3,2021;2022;2023,valid,,0.4197055200735728,0.004813802818398504,6,0.4337345560391744,0.003086649368560504,4
TimeMixer,ETTh2,336,3,2021;2022;2023,valid,,0.38298558195432025,0.00581779192529689,2,0.4163210690021515,0.0014006484178935403,2
