model,dataset,horizon,seq_len,n_seeds,seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std
SimpleTM,ETTh1,96,336,3,2021;2022;2023,0.3849329334411334,0.0030824115645503446,0.4076042948211881,0.0016201617641913757
SimpleTM,ETTh1,192,336,3,2021;2022;2023,0.4237750402991206,0.004002737831740482,0.4331983219406518,0.003748311088774598
SimpleTM,ETTh1,336,336,3,2021;2022;2023,0.45191623063763814,0.010544000088440747,0.45389097610638884,0.0067757174475778
SimpleTM,ETTh1,720,336,3,2021;2022;2023,0.4682205446433162,0.00357791861020954,0.48323081685403096,0.0018186887225623985
SimpleTM,ETTh2,96,336,3,2021;2022;2023,0.30551187691856085,0.003314150602323409,0.35690131195999775,0.001522004289215403
SimpleTM,ETTh2,192,336,3,2021;2022;2023,0.35424073917181054,0.003424092580116153,0.3904265416171834,0.0015213088096119637
SimpleTM,ETTh2,336,336,3,2021;2022;2023,0.393342431149666,0.003647001033569374,0.41740974019867444,0.0023757217111389476
SimpleTM,ETTh2,720,336,3,2021;2022;2023,0.41259106779039323,0.0033123732180635828,0.4394143636730619,0.0023765314951028245
SimpleTM,ETTm1,96,336,3,2021;2022;2023,0.29056857630409133,0.0009795719938429626,0.3428357787929062,0.0003857337413675527
SimpleTM,ETTm1,192,336,3,2021;2022;2023,0.3235295840545146,0.002186129733743002,0.3653070558255511,0.0008578215686004836
SimpleTM,ETTm1,336,336,3,2021;2022;2023,0.36000517922603587,0.0011912225205220487,0.38880808515432325,0.00048253750895216053
SimpleTM,ETTm1,720,336,3,2021;2022;2023,0.4172079928539924,0.002480511055960535,0.42084830968453035,0.001073590314040417
SimpleTM,ETTm2,96,336,3,2021;2022;2023,0.17186357615891792,0.0031334942542952954,0.261792902065207,0.005929393983336332
SimpleTM,ETTm2,192,336,3,2021;2022;2023,0.23157320360545344,0.005331902103630309,0.3033616076562959,0.005966484558381756
SimpleTM,ETTm2,336,336,3,2021;2022;2023,0.2953930006119185,0.007174778747515181,0.3449868567148678,0.005619091204654561
SimpleTM,ETTm2,720,336,3,2021;2022;2023,0.3717855123035253,0.001113569801607335,0.39198993365393614,0.0019558819596211447
SimpleTM,weather,96,336,3,2021;2022;2023,0.15045644215812826,0.001148738556397918,0.20117472064562508,0.0021853171724329555
SimpleTM,weather,192,336,3,2021;2022;2023,0.1959659602950367,0.001080886633678205,0.24642012860832177,0.002848573637905068
SimpleTM,weather,336,336,3,2021;2022;2023,0.2403716808944541,0.004118994442783399,0.27755909127712836,0.0019605342843262005
SimpleTM,weather,720,336,3,2021;2022;2023,0.3180253515971571,0.0008353837555749011,0.33099800964315346,0.001133678996102835
