dataset,horizon,model,n_seeds,seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,mse_rank,mae_rank
ETTm1,96,Recent96,3,"2021,2022,2023",0.332799365123113,0.00276729714753084,0.3709806303183238,0.0032179520164002363,5,5
ETTm1,96,TimeRole,3,"2021,2022,2023",0.29797014594078064,0.002611815375962457,0.35167892773946124,0.002558497289268181,1,1
ETTm1,96,Concat,3,"2021,2022,2023",0.3026485741138458,0.003700569952563281,0.3535511990388234,0.0013856147118387892,3,3
ETTm1,96,NoDiff,3,"2021,2022,2023",0.30685121814409894,0.004033731390501666,0.3562470078468323,0.001104903201693235,4,4
ETTm1,96,GlobalGate,3,"2021,2022,2023",0.30031251907348633,0.002871394252061456,0.3526451488335927,0.0017928536124422795,2,2
ETTm1,720,Recent96,3,"2021,2022,2023",0.46030176679293316,0.003164290668373903,0.449041614929835,0.0018631355222685352,5,5
ETTm1,720,TimeRole,3,"2021,2022,2023",0.4286150336265564,0.004423856990107201,0.42860392729441327,0.0022167692909846833,1,1
ETTm1,720,Concat,3,"2021,2022,2023",0.4335596263408661,0.0019192058068772026,0.42998666564623517,0.0007425933962943652,4,2
ETTm1,720,NoDiff,3,"2021,2022,2023",0.43266962965329486,0.0019584439222792615,0.4303356905778249,0.0014459137568138298,3,3
ETTm1,720,GlobalGate,3,"2021,2022,2023",0.43192638953526813,0.003281263711700643,0.43045883377393085,0.0008899129847602267,2,4
ETTm2,96,Recent96,3,"2021,2022,2023",0.1911524087190628,0.009792501981044487,0.27175000309944153,0.006689132504326052,5,5
ETTm2,96,TimeRole,3,"2021,2022,2023",0.17571790516376495,0.003674973554531198,0.26407506068547565,0.003068437621395705,3,3
ETTm2,96,Concat,3,"2021,2022,2023",0.1757627179225286,0.004638618760835594,0.26459776361783344,0.0037839395791880548,4,4
ETTm2,96,NoDiff,3,"2021,2022,2023",0.17515741288661957,0.0031504424610497577,0.2636215587457021,0.0032048261118060575,1,2
ETTm2,96,GlobalGate,3,"2021,2022,2023",0.1751677244901657,0.0038605200709444245,0.26351313789685565,0.003223166164161097,2,1
ETTm2,720,Recent96,3,"2021,2022,2023",0.41125471393267315,0.009008068550385944,0.40886204441388446,0.006872284740459661,5,5
ETTm2,720,TimeRole,3,"2021,2022,2023",0.37547241648038227,0.0007456833417008525,0.39167741934458417,0.0026973139014039873,2,1
ETTm2,720,Concat,3,"2021,2022,2023",0.37660468618075055,0.0021067111179332216,0.39340221881866455,0.0033253825600334575,4,4
ETTm2,720,NoDiff,3,"2021,2022,2023",0.37599851687749225,0.0010800522791336521,0.39255546530087787,0.0025079905320460694,3,3
ETTm2,720,GlobalGate,3,"2021,2022,2023",0.37369362513224286,0.00038366951748437664,0.39216657479604083,0.0024602165031134553,1,2
