dataset,horizon,seed,model,test_mse,test_mae,source_record
ETTm1,96,2021,Recent96,0.3315502107143402,0.3706080913543701,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_96_recent336_s2021.json
ETTm1,96,2021,TimeRole,0.2950538992881775,0.3487284481525421,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_96_cmrhm_s2021.json
ETTm1,96,2021,Concat,0.3027116358280182,0.35413670539855957,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p96_cat_s2021.json
ETTm1,96,2021,NoDiff,0.306411474943161,0.35656046867370605,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p96_nd_s2021.json
ETTm1,96,2021,GlobalGate,0.29708296060562134,0.35057970881462097,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p96_gg_s2021.json
ETTm1,96,2022,Recent96,0.33597102761268616,0.3743686378002167,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p96_r_s2022.json
ETTm1,96,2022,TimeRole,0.2987625300884247,0.35328420996665955,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p96_c_s2022.json
ETTm1,96,2022,Concat,0.30631721019744873,0.3545479476451874,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_cat_s2022.json
ETTm1,96,2022,NoDiff,0.30305537581443787,0.3550192415714264,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_nd_s2022.json
ETTm1,96,2022,GlobalGate,0.30127739906311035,0.3537994921207428,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_gg_s2022.json
ETTm1,96,2023,Recent96,0.3308768570423126,0.3679651618003845,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p96_r_s2023.json
ETTm1,96,2023,TimeRole,0.30009400844573975,0.35302412509918213,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p96_c_s2023.json
ETTm1,96,2023,Concat,0.29891687631607056,0.3519689440727234,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_cat_s2023.json
ETTm1,96,2023,NoDiff,0.3110868036746979,0.3571613132953644,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_nd_s2023.json
ETTm1,96,2023,GlobalGate,0.3025771975517273,0.35355624556541443,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p96_gg_s2023.json
ETTm1,720,2021,Recent96,0.45931142568588257,0.4483174681663513,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_720_recent336_s2021.json
ETTm1,720,2021,TimeRole,0.42354199290275574,0.42606303095817566,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm1_720_cmrhm_s2021.json
ETTm1,720,2021,Concat,0.43275216221809387,0.43068861961364746,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p720_cat_s2021.json
ETTm1,720,2021,NoDiff,0.4304947853088379,0.4288770258426666,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p720_nd_s2021.json
ETTm1,720,2021,GlobalGate,0.4282168447971344,0.42953088879585266,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm1_p720_gg_s2021.json
ETTm1,720,2022,Recent96,0.4638427793979645,0.4511581063270569,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p720_r_s2022.json
ETTm1,720,2022,TimeRole,0.43063318729400635,0.4301426112651825,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p720_c_s2022.json
ETTm1,720,2022,Concat,0.4321760833263397,0.4300621747970581,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_cat_s2022.json
ETTm1,720,2022,NoDiff,0.43322035670280457,0.4303615391254425,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_nd_s2022.json
ETTm1,720,2022,GlobalGate,0.4331132173538208,0.430540531873703,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_gg_s2022.json
ETTm1,720,2023,Recent96,0.4577510952949524,0.4476492702960968,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p720_r_s2023.json
ETTm1,720,2023,TimeRole,0.4316699206829071,0.4296061396598816,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm1_p720_c_s2023.json
ETTm1,720,2023,Concat,0.4357506334781647,0.4292092025279999,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_cat_s2023.json
ETTm1,720,2023,NoDiff,0.4342937469482422,0.4317685067653656,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_nd_s2023.json
ETTm1,720,2023,GlobalGate,0.43444910645484924,0.43130508065223694,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm1_p720_gg_s2023.json
ETTm2,96,2021,Recent96,0.18222840130329132,0.2646993100643158,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_96_recent336_s2021.json
ETTm2,96,2021,TimeRole,0.17185743153095245,0.26104092597961426,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_final_test/records/ettm2_96_cmrhm_s2021.json
ETTm2,96,2021,Concat,0.1713467538356781,0.2603606581687927,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p96_cat_s2021.json
ETTm2,96,2021,NoDiff,0.1716322898864746,0.260385662317276,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p96_nd_s2021.json
ETTm2,96,2021,GlobalGate,0.1708613783121109,0.26003244519233704,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/c_ettm2_p96_gg_s2021.json
ETTm2,96,2022,Recent96,0.18960070610046387,0.2725439965724945,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_r_s2022.json
ETTm2,96,2022,TimeRole,0.17612236738204956,0.264007568359375,/home/cwh/Time-Series-Library/logs/graphmamba_cmrhm_table34_final_test/records/a_ettm2_p96_c_s2022.json
ETTm2,96,2022,Concat,0.18059581518173218,0.2676401138305664,/home/cwh/Time-Series-Library/logs/timerole_ablation_multiseed/final/ab3_ettm2_p96_cat_s2022.json
