dataset,horizon,variant,variant_label,n,mse_mean,mse_std,mae_mean,mae_std
ETTm1,96,full,TimeRole (Full),3,0.29797014594078064,0.002611815375962457,0.35167892773946124,0.002558497289268181
ETTm1,96,no_decomp,w/o Decomposition,3,0.2943164519489232,0.0034811136012087487,0.34702836752724564,0.0012662127745764955
ETTm1,96,no_dhc,w/o DHC,3,0.332799365123113,0.00276729714753084,0.3709806303183238,0.0032179520164002363
ETTm1,96,no_graph,w/o Graph,3,0.29673545373202004,0.0007350014537548078,0.3501198583260204,0.0009898687566975838
ETTm1,96,no_mamba,w/o Mamba,3,0.29065709672347323,0.0010331505008694644,0.3445778795405081,0.0003955103005030446
ETTm1,96,no_patch,w/o Patch,3,0.29742134686463045,0.0016547339052562177,0.35082011117736767,0.00215663140362356
ETTm1,192,full,TimeRole (Full),3,0.3331284821033478,0.0012750655134705806,0.37407084306081134,0.0005473342938640558
ETTm1,192,no_decomp,w/o Decomposition,3,0.3323007464484202,0.0017111284669618634,0.3698903847651202,0.0010535510709986662
ETTm1,192,no_dhc,w/o DHC,3,0.37082183361053467,0.004473892812544384,0.3934863011042277,0.001993828798338054
ETTm1,192,no_graph,w/o Graph,3,0.33123121348555873,0.0015600186528406208,0.3726223522168626,0.0009941481381474163
ETTm1,192,no_mamba,w/o Mamba,3,0.3268526017695176,0.0014896395727606016,0.36752694699947464,0.0007896216086194968
ETTm1,192,no_patch,w/o Patch,3,0.337619812160017,0.004112413500425345,0.37720350830833893,0.0022808196658768167
ETTm1,336,full,TimeRole (Full),3,0.36836756269137066,0.0019007505846996354,0.3947267134984334,0.001096613177194565
ETTm1,336,no_decomp,w/o Decomposition,3,0.36733732038221734,0.00217329760640967,0.3920648405181436,0.0007304260575772117
ETTm1,336,no_dhc,w/o DHC,3,0.39728901783625287,0.006276132664463423,0.4128882388273875,0.003212252446753121
ETTm1,336,no_graph,w/o Graph,3,0.3679331854861005,0.0006655785720977703,0.3943609638833636,0.0008058258775842498
ETTm1,336,no_mamba,w/o Mamba,3,0.36277271288875806,0.001279013922176151,0.3885919926236541,0.0006367277630235799
ETTm1,336,no_patch,w/o Patch,3,0.3728451627230377,0.0071617163467535775,0.39631730444334873,0.003548631720953966
ETTm1,720,full,TimeRole (Full),3,0.4286150336265564,0.004423856990107201,0.42860392729441327,0.0022167692909846833
ETTm1,720,no_decomp,w/o Decomposition,3,0.4249934569027089,0.002502767639740748,0.4265076894526533,0.0008366269175891901
ETTm1,720,no_dhc,w/o DHC,3,0.46030176679293316,0.003164290668373903,0.449041614929835,0.0018631355222685352
ETTm1,720,no_graph,w/o Graph,3,0.42779107325225696,0.0018899078501587133,0.4279809470223154,0.0014918663754610749
ETTm1,720,no_mamba,w/o Mamba,3,0.4221597127722763,0.000794479839488611,0.4214819176026562,7.817512776902197e-05
ETTm1,720,no_patch,w/o Patch,3,0.438902640344546,0.00975541276173844,0.43329462500777655,0.004732179389816968
ETTm2,96,full,TimeRole (Full),3,0.17571790516376495,0.003674973554531198,0.26407506068547565,0.003068437621395705
ETTm2,96,no_decomp,w/o Decomposition,3,0.1715616595042443,0.0023093718308857237,0.26231199945291694,0.001770846232749772
ETTm2,96,no_dhc,w/o DHC,3,0.1911524087190628,0.009792501981044487,0.27175000309944153,0.006689132504326052
ETTm2,96,no_graph,w/o Graph,3,0.1753190270099903,0.00109785370280407,0.2641060123269371,0.0006496685607085758
ETTm2,96,no_mamba,w/o Mamba,3,0.1739929575307476,0.0002797794146889214,0.26309303563920805,0.0005186047199064873
ETTm2,96,no_patch,w/o Patch,3,0.17474424527007854,0.004164676796287693,0.26187717729898197,0.0039600555713440394
ETTm2,192,full,TimeRole (Full),3,0.23075119157632193,0.00897325233917176,0.2999598483244578,0.007828724017393714
ETTm2,192,no_decomp,w/o Decomposition,3,0.23121524522087963,0.003240908961846926,0.3020193038953161,0.001791078883813743
ETTm2,192,no_dhc,w/o DHC,3,0.26469553510348004,0.03528298573002273,0.3138157327969869,0.017931017975869833
ETTm2,192,no_graph,w/o Graph,3,0.2352037990290837,0.008351777998141635,0.30453045439109483,0.007066165746099978
ETTm2,192,no_mamba,w/o Mamba,3,0.23329076777079386,0.0003572432781554319,0.3008252812058691,0.0009034491477354623
ETTm2,192,no_patch,w/o Patch,3,0.23701126745112552,0.0083162877483872,0.3041607414346258,0.004865872051602258
ETTm2,336,full,TimeRole (Full),3,0.28519346316655475,0.005411330019701633,0.3358064591884613,0.004590985077050361
ETTm2,336,no_decomp,w/o Decomposition,3,0.28744378561615,0.0026191179018321565,0.33806193898911285,0.0022930657468649635
ETTm2,336,no_dhc,w/o DHC,3,0.30686797698338825,0.002798744336092221,0.3458896279335022,0.0031111233261263103
ETTm2,336,no_graph,w/o Graph,3,0.2880691810645581,0.005648231804517191,0.3377163736649527,0.0042692805271205645
ETTm2,336,no_mamba,w/o Mamba,3,0.28481080112321916,0.0009008686793130176,0.33366562310561027,0.001159745460357817
ETTm2,336,no_patch,w/o Patch,3,0.2900277349290523,0.012571676393998654,0.3384544931865166,0.007687023403942532
ETTm2,720,full,TimeRole (Full),3,0.37547241648038227,0.0007456833417008525,0.39167741934458417,0.0026973139014039873
ETTm2,720,no_decomp,w/o Decomposition,3,0.3808414880209742,0.004485985571645363,0.3963935641484487,0.00412580440822793
ETTm2,720,no_dhc,w/o DHC,3,0.41125471393267315,0.009008068550385944,0.40886204441388446,0.006872284740459661
ETTm2,720,no_graph,w/o Graph,3,0.38233078968310796,0.004352194454888433,0.3995614287710858,0.002917712372918857
ETTm2,720,no_mamba,w/o Mamba,3,0.3756053920092539,0.0008478026819602025,0.38968912612118434,0.0003597675749124938
ETTm2,720,no_patch,w/o Patch,3,0.4011334583674936,0.010178772325109504,0.40790297757519894,0.005616603688512883
Weather,96,full,TimeRole (Full),3,0.14614136517047882,0.0005649335017747203,0.1965336799621582,0.0010796074099766583
Weather,96,no_decomp,w/o Decomposition,3,0.14568631801916096,0.00032609578973881735,0.1972452282405289,0.0006016605428101218
Weather,96,no_dhc,w/o DHC,3,0.16117579972361415,0.0013525622204344793,0.21077363738652208,0.0012453673807568744
Weather,96,no_graph,w/o Graph,3,0.1463796249076451,0.0004425709926889443,0.1967525031854237,0.001054498910541231
Weather,96,no_mamba,w/o Mamba,3,0.15864908587601903,0.00034226378156539984,0.20831546712058757,0.0004887969442433789
