dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm1,96,full,TimeRole (Full),2021,0.36555982886844346,0.398636661876151,0.2950538992881775,0.3487284481525421,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,full,TimeRole (Full),2022,0.36887037598193656,0.4020315156415737,0.2987625300884247,0.35328420996665955,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,full,TimeRole (Full),2023,0.3668447889590544,0.40160328877075296,0.30009400844573975,0.35302412509918213,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,no_dhc,w/o DHC,2021,0.3992811247372585,0.41991481357879334,0.3315502107143402,0.3706080913543701,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,no_dhc,w/o DHC,2022,0.40046227975550996,0.4199415256873486,0.33597102761268616,0.3743686378002167,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,no_dhc,w/o DHC,2023,0.39172758107385597,0.4149620464889782,0.3308768570423126,0.3679651618003845,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,96,no_decomp,w/o Decomposition,2021,0.36566253042424784,0.40063614775218526,0.29471450586051656,0.34715349073172536,,one_shot_after_validation_selection
ETTm1,96,no_decomp,w/o Decomposition,2022,0.36838093641662123,0.4025783445905419,0.29065342200278144,0.34570423827787927,,one_shot_after_validation_selection
ETTm1,96,no_decomp,w/o Decomposition,2023,0.3663458894493307,0.4014249826339653,0.29758142798347154,0.34822737357213224,,one_shot_after_validation_selection
ETTm1,96,no_patch,w/o Patch,2021,0.3699934347040817,0.4048028934534806,0.2993131629424728,0.3527888677576575,,one_shot_after_validation_selection
ETTm1,96,no_patch,w/o Patch,2022,0.3701819827614494,0.4028616920654831,0.29624323580480433,0.35115636044894083,,one_shot_after_validation_selection
ETTm1,96,no_patch,w/o Patch,2023,0.3723480037352536,0.4029227841897869,0.2967076418466142,0.34851510532550467,,one_shot_after_validation_selection
ETTm1,96,no_mamba,w/o Mamba,2021,0.37005714847282084,0.4028919633537627,0.29020497932128014,0.3445027695823066,,one_shot_after_validation_selection
ETTm1,96,no_mamba,w/o Mamba,2022,0.37053262834190215,0.4027696299336783,0.2918392371932603,0.3450055592028042,,one_shot_after_validation_selection
ETTm1,96,no_mamba,w/o Mamba,2023,0.3697197395719016,0.40188399338034075,0.2899270736558792,0.3442253098364136,,one_shot_after_validation_selection
ETTm1,96,no_graph,w/o Graph,2021,0.36805235513935763,0.39954355861341456,0.29723194298998096,0.35078550824674826,,one_shot_after_validation_selection
ETTm1,96,no_graph,w/o Graph,2022,0.3685230844463298,0.40142227914366385,0.2970833223050145,0.35059172137523675,,one_shot_after_validation_selection
ETTm1,96,no_graph,w/o Graph,2023,0.3719205380420182,0.40297443894901736,0.2958910959010647,0.3489823453560762,,one_shot_after_validation_selection
ETTm1,192,full,TimeRole (Full),2021,0.48078013696058786,0.46060922740324106,0.3318106532096863,0.3740169107913971,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,full,TimeRole (Full),2022,0.4823156402052218,0.4623611851204401,0.3332188129425049,0.37355247139930725,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,full,TimeRole (Full),2023,0.48742815176884424,0.46523151998429024,0.3343559801578522,0.37464314699172974,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,no_dhc,w/o DHC,2021,0.5152321789619427,0.48045598148146657,0.3681393563747406,0.3914683163166046,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,no_dhc,w/o DHC,2022,0.5138881952035881,0.48010906721531466,0.3683395981788635,0.3935355246067047,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,no_dhc,w/o DHC,2023,0.5119161638023759,0.48025607367257656,0.3759865462779999,0.3954550623893738,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,192,no_decomp,w/o Decomposition,2021,0.47558317388724847,0.4601509900669891,0.3342758366195654,0.3710049123566696,,one_shot_after_validation_selection
ETTm1,192,no_decomp,w/o Decomposition,2022,0.4816004161997384,0.46176982127294663,0.33126603418854683,0.36975542541516476,,one_shot_after_validation_selection
ETTm1,192,no_decomp,w/o Decomposition,2023,0.4809190996456568,0.46177820133189523,0.3313603685371484,0.3689108165235262,,one_shot_after_validation_selection
ETTm1,192,no_patch,w/o Patch,2021,0.4797681902709096,0.4622523449491133,0.3339662838121676,0.37516612392960264,,one_shot_after_validation_selection
ETTm1,192,no_patch,w/o Patch,2022,0.4791380447081056,0.4610886726698316,0.33681964984904045,0.3767768849549237,,one_shot_after_validation_selection
ETTm1,192,no_patch,w/o Patch,2023,0.4866029195365144,0.4640885994864065,0.3420735028188431,0.37966751604049054,,one_shot_after_validation_selection
ETTm1,192,no_mamba,w/o Mamba,2021,0.4858428935564418,0.4616211352859761,0.32558855000819126,0.3668455217637713,,one_shot_after_validation_selection
ETTm1,192,no_mamba,w/o Mamba,2022,0.48850847854230395,0.4626786825250612,0.32849490281826627,0.36839229951373986,,one_shot_after_validation_selection
ETTm1,192,no_mamba,w/o Mamba,2023,0.48508818992798913,0.4615978989121851,0.32647435248209516,0.3673430197209128,,one_shot_after_validation_selection
ETTm1,192,no_graph,w/o Graph,2021,0.48643300822402596,0.46308386085672876,0.33161247658215154,0.373607327471693,,one_shot_after_validation_selection
ETTm1,192,no_graph,w/o Graph,2022,0.4844871273681501,0.4621212241627671,0.3325652579800967,0.37264045085161146,,one_shot_after_validation_selection
