model,dataset,horizon,seed,mse,mae,parameter_count,record
Attraos,ETTm1,96,2021,0.30647691594817755,0.35277804556446446,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h96_s2021.json
Attraos,ETTm1,720,2021,0.4384407518142174,0.4293459691289699,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h720_s2021.json
Attraos,ETTm2,96,2021,0.17202692414443047,0.2594672281587821,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h96_s2021.json
Attraos,ETTm2,720,2021,0.37463280051726383,0.3874777863005249,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h720_s2021.json
Attraos,ETTm1,96,2022,0.31093249341057055,0.35499195115968957,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h96_s2022.json
Attraos,ETTm1,720,2022,0.4371291959912543,0.42787165916809583,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h720_s2022.json
Attraos,ETTm2,96,2022,0.1731581941952218,0.26011734674979814,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h96_s2022.json
Attraos,ETTm2,720,2022,0.3831664202014669,0.39560396816326715,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h720_s2022.json
Attraos,ETTm1,96,2023,0.313253239958289,0.3580101117166589,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h96_s2023.json
Attraos,ETTm1,720,2023,0.43984109383519016,0.4303223134870577,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm1_l336_h720_s2023.json
Attraos,ETTm2,96,2023,0.17267291739097024,0.2604546464556541,192864,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h96_s2023.json
Attraos,ETTm2,720,2023,0.38905454958838687,0.3978380303463299,1032144,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_attraos_ettm2_l336_h720_s2023.json
DiM,ETTm1,96,2021,0.2901075499418242,0.3437715726953578,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h96_s2021.json
DiM,ETTm1,720,2021,0.423489510198387,0.42881987283497597,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h720_s2021.json
DiM,ETTm2,96,2021,0.17206278728025212,0.25495367036060057,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h96_s2021.json
DiM,ETTm2,720,2021,0.3740983302467975,0.3926431890185088,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h720_s2021.json
DiM,ETTm1,96,2022,0.28871046115970245,0.3439095080861502,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h96_s2022.json
DiM,ETTm1,720,2022,0.42192856829852204,0.4218691114600004,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h720_s2022.json
DiM,ETTm2,96,2022,0.1717810608260741,0.254059368979003,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h96_s2022.json
DiM,ETTm2,720,2022,0.38177573644953533,0.39267202443725585,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h720_s2022.json
DiM,ETTm1,96,2023,0.28769365707958716,0.3418697678427951,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h96_s2023.json
DiM,ETTm1,720,2023,0.4281492355664452,0.4268809448550564,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm1_l336_h720_s2023.json
DiM,ETTm2,96,2023,0.16878357221077317,0.25264083672305176,2782492,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h96_s2023.json
DiM,ETTm2,720,2023,0.3769650570396898,0.3929963707486093,3102604,/home/cwh/Time-Series-Library/logs/timerole_p0/closest/formal/records/closest_dim_ettm2_l336_h720_s2023.json
