variant,dataset,horizon,n,validation_mse_mean,validation_mse_std,validation_mae_mean,validation_mae_std
no_decomp,ETTm1,96,3,0.39792597230338406,0.005140622956384881,0.4155972151487816,0.005294730941128298
no_decomp,ETTm1,720,3,0.9484254441432478,0.0039100655891653804,0.6518503440654791,0.001168410600847472
no_decomp,ETTm2,96,3,0.12835819609378593,0.00162747954605757,0.24631337356130145,0.0016273476928198292
no_decomp,ETTm2,720,3,0.2953569035875167,0.0068043397986228635,0.3763549899227621,0.00556065535523001
no_graph,ETTm1,96,3,0.40317789838551804,0.00600544526662931,0.4187860937934375,0.0028974695020827505
no_graph,ETTm1,720,3,0.9695333249314254,0.0033583904736546478,0.6599655793302684,0.0033873385546162186
no_graph,ETTm2,96,3,0.13070365781000012,0.0009265897816086191,0.2489541428358523,0.001432216722962497
no_graph,ETTm2,720,3,0.2917996479257467,0.004017476998787382,0.372179236808285,0.0023739924621013976
no_mamba,ETTm1,96,3,0.38453097022903465,0.0004632032976516124,0.40813286279183675,0.0005775076867084633
no_mamba,ETTm1,720,3,0.9632731790841156,0.001035099998974184,0.6494687303461791,0.00022439317244224964
no_mamba,ETTm2,96,3,0.12676823948576657,0.0005747621658722168,0.24582106503651624,0.0007396313297223908
no_mamba,ETTm2,720,3,0.2834563213487659,0.0002820793726958891,0.3662529625513445,0.0003814824169710548
no_patch,ETTm1,96,3,0.39365748401514783,0.00861952734530299,0.41249468922022964,0.005917805765559423
no_patch,ETTm1,720,3,0.9703655964111629,0.00714009847793395,0.6574068231841393,0.0010158687480486645
no_patch,ETTm2,96,3,0.13034095288250472,0.0021813350292967538,0.2463334540761667,0.0015059940030671696
no_patch,ETTm2,720,3,0.2915012556224547,0.0020479303436549967,0.3714322567113388,0.0024953520114698335
uni_mamba,ETTm1,96,3,0.40613833131797117,0.004049709012225797,0.4194651356182633,0.002630332726337778
uni_mamba,ETTm1,720,3,0.9750094287057735,0.0030830727074057543,0.6600757190621419,0.0015515194993249853
uni_mamba,ETTm2,96,3,0.12994969118217392,0.0033028470788540884,0.2486741656726433,0.003278303198337188
uni_mamba,ETTm2,720,3,0.2984889392980405,0.009738845490897407,0.37488593667967157,0.008510368282532148
