model,variant,variant_label,dataset,horizon,seed,validation_mse,validation_mae,parameter_count,record
GraphMambaRecent,no_decomp,w/o Decomp,ETTm1,96,2023,0.4035879772544416,0.4205900314210218,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_decomp_s2023.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm1,720,2023,0.9526447654597862,0.6505957659412599,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_decomp_s2023.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm2,96,2023,0.12865092413766044,0.24688595964869597,988070,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_decomp_s2023.json
GraphMambaRecent,no_decomp,w/o Decomp,ETTm2,720,2023,0.30199371317305274,0.3822494810346503,6739478,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_decomp_s2023.json
GraphMambaRecent,no_patch,w/o Patch,ETTm1,96,2023,0.38372188941953184,0.4058308502186136,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_patch_s2023.json
GraphMambaRecent,no_patch,w/o Patch,ETTm1,720,2023,0.9709793104566302,0.6582880192305643,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_patch_s2023.json
GraphMambaRecent,no_patch,w/o Patch,ETTm2,96,2023,0.12831041996486736,0.24537747964544,702214,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_patch_s2023.json
GraphMambaRecent,no_patch,w/o Patch,ETTm2,720,2023,0.28972836541420144,0.36858016669061633,4597222,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_patch_s2023.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm1,96,2023,0.40194381385939165,0.41671061452309316,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_uni_mamba_s2023.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm1,720,2023,0.9730794345460829,0.6583579951375939,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_uni_mamba_s2023.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm2,96,2023,0.12927242838915307,0.24716875981375291,958854,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_uni_mamba_s2023.json
GraphMambaRecent,uni_mamba,Uni-Mamba,ETTm2,720,2023,0.2957798479861437,0.3705634359608366,6770790,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_uni_mamba_s2023.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm1,96,2023,0.38402524623173256,0.40755948600836617,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_mamba_s2023.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm1,720,2023,0.9621162629743921,0.6492126717339426,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_mamba_s2023.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm2,96,2023,0.12617865096582426,0.24511416105823094,903366,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_mamba_s2023.json
GraphMambaRecent,no_mamba,w/o Mamba,ETTm2,720,2023,0.28371974392487403,0.36584025379221347,6715302,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_mamba_s2023.json
GraphMambaRecent,no_graph,w/o Graph,ETTm1,96,2023,0.40370962539439126,0.41946394096057316,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p96_no_graph_s2023.json
GraphMambaRecent,no_graph,w/o Graph,ETTm1,720,2023,0.9661664813264094,0.6580872056794878,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm1_p720_no_graph_s2023.json
GraphMambaRecent,no_graph,w/o Graph,ETTm2,96,2023,0.12963479196527197,0.24879879148053394,988992,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p96_no_graph_s2023.json
GraphMambaRecent,no_graph,w/o Graph,ETTm2,720,2023,0.29637682450738045,0.3746773147962536,6800928,/home/cwh/Time-Series-Library/logs/timerole_p0/recent_backbone/seed2023/records/table2_ettm2_p720_no_graph_s2023.json
