factor,dataset,horizon,seed,seq_len,recent_len,pool,mse,mae,parameter_count,record
history,ETTm1,96,2021,192,96,16,0.3744138667925554,0.4043954458790197,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l192_r96_p16_s2021.json
history,ETTm1,96,2021,336,96,16,0.36726530072887054,0.39932166550002196,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l336_r96_p16_s2021.json
history,ETTm1,96,2021,720,96,16,0.3720263995907636,0.4051691147236945,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l720_r96_p16_s2021.json
history,ETTm1,96,2021,960,96,16,0.37179880908768514,0.40521799055526586,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h96_l960_r96_p16_s2021.json
history,ETTm1,720,2021,192,96,16,0.9442455232744561,0.6442688193955347,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l192_r96_p16_s2021.json
history,ETTm1,720,2021,336,96,16,0.9375137423664108,0.6386823799682165,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l336_r96_p16_s2021.json
history,ETTm1,720,2021,720,96,16,0.9177090352623416,0.6351016676644937,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l720_r96_p16_s2021.json
history,ETTm1,720,2021,960,96,16,0.8901066233464384,0.6310252859886394,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm1_h720_l960_r96_p16_s2021.json
history,ETTm2,96,2021,192,96,16,0.12202671223336661,0.24031558089471428,1003725,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l192_r96_p16_s2021.json
history,ETTm2,96,2021,336,96,16,0.12258272021862943,0.24263524731807662,1004013,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l336_r96_p16_s2021.json
history,ETTm2,96,2021,720,96,16,0.12458779551851956,0.2442642476144552,1004781,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l720_r96_p16_s2021.json
history,ETTm2,96,2021,960,96,16,0.12107417836715445,0.24078093939850054,1005261,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h96_l960_r96_p16_s2021.json
history,ETTm2,720,2021,192,96,16,0.2784740728406155,0.36027670373024046,6835629,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l192_r96_p16_s2021.json
history,ETTm2,720,2021,336,96,16,0.27762787438709013,0.3598609627746108,6835917,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l336_r96_p16_s2021.json
history,ETTm2,720,2021,720,96,16,0.279844973632613,0.3661868886458099,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l720_r96_p16_s2021.json
history,ETTm2,720,2021,960,96,16,0.29199486422324994,0.3675233780893372,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l960_r96_p16_s2021.json
history,weather,96,2021,192,96,16,0.3893661366338315,0.2715300246727868,1004775,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l192_r96_p16_s2021.json
history,weather,96,2021,336,96,16,0.3836502538306171,0.26917284113490025,1005063,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l336_r96_p16_s2021.json
