model,dataset,horizon,n_seeds,seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std
TimeRole,ETTh1,96,3,2021;2022;2023,0.36871305108070374,0.00037558504221739175,0.39779044191042584,0.00016400205102644295
TimeRole,ETTh1,192,3,2021;2022;2023,0.4146342873573303,0.0035751041839359016,0.4256414473056793,0.0006779487006615827
TimeRole,ETTh1,336,3,2021;2022;2023,0.4485903282960256,0.015676500146393223,0.44318317373593646,0.003928930271329137
TimeRole,ETTh1,720,3,2021;2022;2023,0.45430328448613483,0.013215334565635688,0.4583997925122579,0.007249257059913
TimeRole,ETTh2,96,3,2021;2022;2023,0.2827672561009725,0.0018058090907560936,0.34276752670605976,0.0015674863640224915
TimeRole,ETTh2,192,3,2021;2022;2023,0.343898077805837,0.007229526349334643,0.3864717483520508,0.005721531606683194
TimeRole,ETTh2,336,3,2021;2022;2023,0.37516135970751446,0.0036556564518367544,0.41298096378644306,0.005469861270510348
TimeRole,ETTh2,720,3,2021;2022;2023,0.44851436217625934,0.027888975915970733,0.4622654616832733,0.014904099685256371
TimeRole,ETTm1,96,3,2021;2022;2023,0.29797014594078064,0.002611815375962457,0.35167892773946124,0.002558497289268181
TimeRole,ETTm1,192,3,2021;2022;2023,0.3331284821033478,0.0012750655134705806,0.37407084306081134,0.0005473342938640558
TimeRole,ETTm1,336,3,2021;2022;2023,0.36836756269137066,0.0019007505846996354,0.3947267134984334,0.001096613177194565
TimeRole,ETTm1,720,3,2021;2022;2023,0.4286150336265564,0.004423856990107201,0.42860392729441327,0.0022167692909846833
TimeRole,ETTm2,96,3,2021;2022;2023,0.17571790516376495,0.003674973554531198,0.26407506068547565,0.003068437621395705
TimeRole,ETTm2,192,3,2021;2022;2023,0.23075119157632193,0.00897325233917176,0.2999598483244578,0.007828724017393714
TimeRole,ETTm2,336,3,2021;2022;2023,0.28519346316655475,0.005411330019701633,0.3358064591884613,0.004590985077050361
TimeRole,ETTm2,720,3,2021;2022;2023,0.37547241648038227,0.0007456833417008525,0.39167741934458417,0.0026973139014039873
TimeRole,weather,96,3,2021;2022;2023,0.14614136517047882,0.0005649335017747203,0.1965336799621582,0.0010796074099766583
TimeRole,weather,192,3,2021;2022;2023,0.18804573019345602,0.0003691281009527681,0.2368517518043518,0.0011982718401090068
TimeRole,weather,336,3,2021;2022;2023,0.24157377084096274,0.0003712803418107544,0.2776183485984802,0.00046356048295696724
TimeRole,weather,720,3,2021;2022;2023,0.3177015980084737,0.00044818736986456276,0.33145010471343994,0.00026684726370893854
