model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,result_source
TimeRole,ETTh1,96,2021,336,0.6796545700995527,0.5511192470980045,0.3682802617549896,0.39763304591178894,reused_protocol_matched_timerole_record
TimeRole,ETTh1,96,2022,336,0.6801181154331815,0.5526395495899765,0.3689536154270172,0.3979603350162506,new_table2_protocol_matched_run
TimeRole,ETTh1,96,2023,336,0.6801428471995977,0.5518066965230175,0.36890527606010437,0.3977779448032379,new_table2_protocol_matched_run
TimeRole,ETTh1,192,2021,336,0.9674951401044615,0.6542039133967089,0.41641029715538025,0.42609861493110657,reused_protocol_matched_timerole_record
TimeRole,ETTh1,192,2022,336,0.9687365450333247,0.6558988764337171,0.41051894426345825,0.4248625338077545,new_table2_protocol_matched_run
TimeRole,ETTh1,192,2023,336,0.965605459703191,0.6530682975640556,0.41697362065315247,0.4259631931781769,new_table2_protocol_matched_run
TimeRole,ETTh1,336,2021,336,1.2407336796610835,0.7487637921849732,0.46615391969680786,0.44759824872016907,reused_protocol_matched_timerole_record
TimeRole,ETTh1,336,2022,336,1.256136538219782,0.7549046188457885,0.4436023235321045,0.44187942147254944,new_table2_protocol_matched_run
TimeRole,ETTh1,336,2023,336,1.2490683586180051,0.7519665936349368,0.43601474165916443,0.44007185101509094,new_table2_protocol_matched_run
TimeRole,ETTh1,720,2021,336,1.4783041114168558,0.8320478836189246,0.467281699180603,0.46540719270706177,reused_protocol_matched_timerole_record
TimeRole,ETTh1,720,2022,336,1.5389564907165627,0.8515927344662414,0.44086313247680664,0.45093074440956116,new_table2_protocol_matched_run
TimeRole,ETTh1,720,2023,336,1.5162816208761192,0.8426899867866416,0.4547650218009949,0.45886144042015076,new_table2_protocol_matched_run
TimeRole,ETTh2,96,2021,336,0.22354715230210762,0.3241795530316768,0.2812073230743408,0.341083288192749,reused_protocol_matched_timerole_record
TimeRole,ETTh2,96,2022,336,0.2256087301775585,0.32779776211262684,0.2823489308357239,0.34418368339538574,new_table2_protocol_matched_run
TimeRole,ETTh2,96,2023,336,0.21645389288890624,0.32088445355426026,0.2847455143928528,0.34303560853004456,new_table2_protocol_matched_run
TimeRole,ETTh2,192,2021,336,0.2856166419296563,0.37020302318746,0.3399837017059326,0.3865271210670471,reused_protocol_matched_timerole_record
TimeRole,ETTh2,192,2022,336,0.29302703228698374,0.3713082284641447,0.3394697904586792,0.3807227313518524,new_table2_protocol_matched_run
TimeRole,ETTh2,192,2023,336,0.2772682306100218,0.36562377049663747,0.35224074125289917,0.3921653926372528,new_table2_protocol_matched_run
TimeRole,ETTh2,336,2021,336,0.3720096486627712,0.42088072023151724,0.3724833130836487,0.4100472629070282,reused_protocol_matched_timerole_record
TimeRole,ETTh2,336,2022,336,0.3801003408408427,0.42526393375606014,0.3736746311187744,0.4096038043498993,new_table2_protocol_matched_run
TimeRole,ETTh2,336,2023,336,0.366878242482989,0.420265317033616,0.37932613492012024,0.41929182410240173,new_table2_protocol_matched_run
TimeRole,ETTh2,720,2021,336,0.6387785043948504,0.562516993706755,0.4337161183357239,0.45506444573402405,reused_protocol_matched_timerole_record
TimeRole,ETTh2,720,2022,336,0.6491735937666415,0.5654212777993544,0.43114346265792847,0.4523293077945709,new_table2_protocol_matched_run
TimeRole,ETTh2,720,2023,336,0.6278048912437199,0.5597739106066324,0.48068350553512573,0.479402631521225,new_table2_protocol_matched_run
TimeRole,ETTm1,96,2021,336,0.36555982886844346,0.398636661876151,0.2950538992881775,0.3487284481525421,reused_protocol_matched_timerole_record
TimeRole,ETTm1,96,2022,336,0.36887037598193656,0.4020315156415737,0.2987625300884247,0.35328420996665955,reused_protocol_matched_timerole_record
TimeRole,ETTm1,96,2023,336,0.3668447889590544,0.40160328877075296,0.30009400844573975,0.35302412509918213,reused_protocol_matched_timerole_record
TimeRole,ETTm1,192,2021,336,0.48078013696058786,0.46060922740324106,0.3318106532096863,0.3740169107913971,reused_protocol_matched_timerole_record
TimeRole,ETTm1,192,2022,336,0.4823156402052218,0.4623611851204401,0.3332188129425049,0.37355247139930725,reused_protocol_matched_timerole_record
TimeRole,ETTm1,192,2023,336,0.48742815176884424,0.46523151998429024,0.3343559801578522,0.37464314699172974,reused_protocol_matched_timerole_record
TimeRole,ETTm1,336,2021,336,0.6224400361064324,0.5233821398832569,0.3705420196056366,0.3950028717517853,reused_protocol_matched_timerole_record
TimeRole,ETTm1,336,2022,336,0.6338353108219847,0.5291758672563026,0.3675385117530823,0.39565885066986084,reused_protocol_matched_timerole_record
TimeRole,ETTm1,336,2023,336,0.6297597658893058,0.527020475988891,0.36702215671539307,0.3935184180736542,reused_protocol_matched_timerole_record
TimeRole,ETTm1,720,2021,336,0.9400004502334256,0.6397543385814374,0.42354199290275574,0.42606303095817566,reused_protocol_matched_timerole_record
TimeRole,ETTm1,720,2022,336,0.9378184969507893,0.6390822574861252,0.43063318729400635,0.4301426112651825,reused_protocol_matched_timerole_record
TimeRole,ETTm1,720,2023,336,0.9369639221348645,0.6386862010395403,0.4316699206829071,0.4296061396598816,reused_protocol_matched_timerole_record
TimeRole,ETTm2,96,2021,336,0.12291466004130268,0.24302524385196883,0.17185743153095245,0.26104092597961426,reused_protocol_matched_timerole_record
TimeRole,ETTm2,96,2022,336,0.12654909524344227,0.2456937061757784,0.17612236738204956,0.264007568359375,reused_protocol_matched_timerole_record
TimeRole,ETTm2,96,2023,336,0.12799332537923838,0.24551571008201886,0.17917391657829285,0.26717668771743774,reused_protocol_matched_timerole_record
