model,dataset,horizon,seed,mse,mae,record
SMamba,electricity,96,2021,0.13521592994838552,0.23033777683362963,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h96_s2021.json
SMamba,electricity,192,2021,0.15385650512362645,0.2512121789411745,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h192_s2021.json
SMamba,electricity,336,2021,0.17472411102093635,0.27000111924237014,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h336_s2021.json
SMamba,electricity,720,2021,0.19404003636386002,0.28875283223431236,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h720_s2021.json
SMamba,electricity,96,2022,0.13270004171270391,0.22913883763103726,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h96_s2022.json
SMamba,electricity,192,2022,0.15471303965727753,0.25068735077066734,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h192_s2022.json
SMamba,electricity,336,2022,0.17401365985160133,0.2693966297044301,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h336_s2022.json
SMamba,electricity,720,2022,0.19603248303394005,0.2908380909195737,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h720_s2022.json
SMamba,electricity,96,2023,0.13336930623083904,0.22964885693596895,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h96_s2023.json
SMamba,electricity,192,2023,0.15880782943325547,0.25531461850644965,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h192_s2023.json
SMamba,electricity,336,2023,0.17286596098685256,0.270559597182406,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h336_s2023.json
SMamba,electricity,720,2023,0.19457577377077806,0.29043126699307237,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_smamba_electricity_l336_h720_s2023.json
iTransformer,electricity,96,2021,0.13271948789453958,0.2285068701601216,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h96_s2021.json
iTransformer,electricity,192,2021,0.15708348703831762,0.25157816369041996,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h192_s2021.json
iTransformer,electricity,336,2021,0.16993500152158134,0.26593089020461197,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h336_s2021.json
iTransformer,electricity,720,2021,0.19506852591383272,0.28796909775556334,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h720_s2021.json
iTransformer,electricity,96,2022,0.13177863539602766,0.2271631746477264,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h96_s2022.json
iTransformer,electricity,192,2022,0.15574650884648356,0.2501010757162688,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h192_s2022.json
iTransformer,electricity,336,2022,0.1693700935708977,0.2652633845268028,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h336_s2022.json
iTransformer,electricity,720,2022,0.20754929499425792,0.29998917465206243,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h720_s2022.json
iTransformer,electricity,96,2023,0.1331983721580685,0.2288306455032977,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h96_s2023.json
iTransformer,electricity,192,2023,0.15257004630975873,0.24707425525260812,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h192_s2023.json
iTransformer,electricity,336,2023,0.17022146670861957,0.2662259032559487,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h336_s2023.json
iTransformer,electricity,720,2023,0.20023846997123207,0.29370059817672894,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_itransformer_electricity_l336_h720_s2023.json
TimeMixer,electricity,96,2021,0.13117372515772033,0.225287457357834,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_timemixer_electricity_l336_h96_s2021.json
TimeMixer,electricity,192,2021,0.15262040686831052,0.2425727713428262,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_timemixer_electricity_l336_h192_s2021.json
TimeMixer,electricity,336,2021,0.17088613780585055,0.26038235778462276,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_timemixer_electricity_l336_h336_s2021.json
TimeMixer,electricity,720,2021,0.20426512437991412,0.29171845411358793,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_timemixer_electricity_l336_h720_s2021.json
TimeMixer,electricity,96,2022,0.13035619185050304,0.22371453688810844,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/baselines/formal/records/p0_timemixer_electricity_l336_h96_s2022.json
