model,dataset,horizon,seed,mse,mae,record
TimeRole,electricity,96,2021,0.14522360184171954,0.2435303829447844,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h96_s2021.json
TimeRole,electricity,192,2021,0.159061928880784,0.2542954805750429,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h192_s2021.json
TimeRole,electricity,336,2021,0.17609808299755475,0.27197073387401477,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h336_s2021.json
TimeRole,electricity,720,2021,0.21826494403903374,0.3088372662262712,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h720_s2021.json
TimeRole,electricity,96,2022,0.14504442869561826,0.24358798932291903,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h96_s2022.json
TimeRole,electricity,192,2022,0.15915907301006718,0.25501254950652474,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h192_s2022.json
TimeRole,electricity,336,2022,0.17693225293882162,0.2734671847785203,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h336_s2022.json
TimeRole,electricity,720,2022,0.21600617625397717,0.3047785419431751,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h720_s2022.json
TimeRole,electricity,96,2023,0.1458244052868974,0.24536181810996935,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h96_s2023.json
TimeRole,electricity,192,2023,0.15970873825137044,0.25557797938147714,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h192_s2023.json
TimeRole,electricity,336,2023,0.17656816713151846,0.27349010953903,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h336_s2023.json
TimeRole,electricity,720,2023,0.21589805095869818,0.30585986296306017,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_electricity_l336_h720_s2023.json
TimeRole,solar,96,2021,0.2006136959293483,0.25316425572017986,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h96_s2021.json
TimeRole,solar,192,2021,0.22894413670175404,0.27361507402097884,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h192_s2021.json
TimeRole,solar,336,2021,0.2406606640902474,0.2823147588471416,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h336_s2021.json
TimeRole,solar,720,2021,0.23688538141058976,0.28337986949306493,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h720_s2021.json
TimeRole,solar,96,2022,0.20043056308921142,0.2525229530246273,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h96_s2022.json
TimeRole,solar,192,2022,0.22841476822412815,0.2731768312728867,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h192_s2022.json
TimeRole,solar,336,2022,0.2426607009001853,0.2838588244804795,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h336_s2022.json
TimeRole,solar,720,2022,0.2379349919080556,0.2818954165590559,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h720_s2022.json
TimeRole,solar,96,2023,0.19924961695178195,0.25268108910250275,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h96_s2023.json
TimeRole,solar,192,2023,0.22870173714657505,0.2746741702650472,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h192_s2023.json
TimeRole,solar,336,2023,0.24106841169181129,0.28269109211065524,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h336_s2023.json
TimeRole,solar,720,2023,0.2354672085723493,0.2802546111984627,/home/cwh/Time-Series-Library/logs/timerole_table3_ecl_solar/timerole/formal/records/p0_timerole_solar_l336_h720_s2023.json
