dataset,pred_len,variant,n_seeds,parameter_count_mean,milliseconds_per_batch_mean,peak_cuda_memory_bytes_mean
ETTh1,96,recent96,3,1782112.0,4.024821022004985,24835072.0
ETTh1,96,dhc,3,1788743.0,4.85758750215872,24862208.0
ETTh1,96,raw336,3,2212192.0,3.955210462460982,35728896.0
ETTh1,192,recent96,3,1506496.0,5.802706676572671,20980736.0
ETTh1,192,dhc,3,1516199.0,6.707425730070791,21020160.0
ETTh1,192,raw336,3,1905856.0,5.808754705293718,30346752.0
ETTh1,336,recent96,3,4421456.0,5.499456172947248,49815040.0
ETTh1,336,dhc,3,4435767.0,6.449296447923795,49872896.0
ETTh1,336,raw336,3,7124816.0,5.381669737471384,87589888.0
ETTh1,720,recent96,3,2375632.0,5.885411357916847,34537472.0
ETTh1,720,dhc,3,2402231.0,6.813653696108126,34644480.0
ETTh1,720,raw336,3,5201872.0,5.570607323569871,66216960.0
ETTh2,96,recent96,3,1256800.0,5.116886864804353,29413888.0
ETTh2,96,dhc,3,1263431.0,5.890221784800468,29441024.0
ETTh2,96,raw336,3,1686880.0,5.51392017714014,49493504.0
ETTh2,192,recent96,3,1428928.0,7.425665603973446,39510016.0
ETTh2,192,dhc,3,1438631.0,7.582786004059017,39549440.0
ETTh2,192,raw336,3,2227648.0,6.41303262741798,82339840.0
ETTh2,336,recent96,3,7575888.0,5.781134995797572,53312512.0
ETTh2,336,dhc,3,7590199.0,6.5126473825227045,53370368.0
ETTh2,336,raw336,3,10279248.0,5.79170960281629,71239168.0
ETTh2,720,recent96,3,3429072.0,7.849147161751342,39554048.0
ETTh2,720,dhc,3,3455671.0,8.202491247585366,39661056.0
ETTh2,720,raw336,3,6255312.0,7.88797728683658,72953856.0
