panel,comparison,split,dataset,horizon,seed,intervention,mse_improvement_pct,mae_improvement_pct
a,TimeRole vs RGSP-96,test,ETTm1,96,2021,,11.007778082097953,5.903714385152752
a,TimeRole vs RGSP-96,test,ETTm1,96,2022,,11.074912556792277,5.631996301145549
a,TimeRole vs RGSP-96,test,ETTm1,96,2023,,9.30341543731371,4.060448719682798
a,TimeRole vs RGSP-96,test,ETTm1,192,2021,,9.868193263225624,4.457935622839394
a,TimeRole vs RGSP-96,test,ETTm1,192,2022,,9.534892639836187,5.077827021427956
a,TimeRole vs RGSP-96,test,ETTm1,192,2023,,11.072355256394353,5.2627763245453725
a,TimeRole vs RGSP-96,test,ETTm1,336,2021,,7.264573783661753,4.859597510374623
a,TimeRole vs RGSP-96,test,ETTm1,336,2022,,8.596716357157849,4.492382509356628
a,TimeRole vs RGSP-96,test,ETTm1,336,2023,,5.93796201947397,3.8361086543873073
a,TimeRole vs RGSP-96,test,ETTm1,720,2021,,7.787620943614216,4.9639906513564735
a,TimeRole vs RGSP-96,test,ETTm1,720,2022,,7.159665640815173,4.658122012472426
a,TimeRole vs RGSP-96,test,ETTm1,720,2023,,5.697676068964916,4.030640019647661
a,TimeRole vs RGSP-96,test,ETTm2,96,2021,,5.691192864650117,1.382090525212435
a,TimeRole vs RGSP-96,test,ETTm2,96,2022,,7.108801963676513,3.132128507864192
a,TimeRole vs RGSP-96,test,ETTm2,96,2023,,11.136443822401171,3.8955949048691196
a,TimeRole vs RGSP-96,test,ETTm2,192,2021,,7.189253688355561,2.123289666288992
a,TimeRole vs RGSP-96,test,ETTm2,192,2022,,8.16988973436462,3.1877829128039052
a,TimeRole vs RGSP-96,test,ETTm2,192,2023,,21.050587583967573,7.604054856680469
a,TimeRole vs RGSP-96,test,ETTm2,336,2021,,5.862130611412638,2.0358512025831317
a,TimeRole vs RGSP-96,test,ETTm2,336,2022,,7.996876226290347,3.6024839181409405
a,TimeRole vs RGSP-96,test,ETTm2,336,2023,,7.343065407183369,3.110712122154004
a,TimeRole vs RGSP-96,test,ETTm2,720,2021,,7.186113914039892,3.1122248469888767
a,TimeRole vs RGSP-96,test,ETTm2,720,2022,,10.704704901781481,5.1158949007160555
a,TimeRole vs RGSP-96,test,ETTm2,720,2023,,8.131800957680008,4.347852119126768
b,Intervention vs intact history,validation,ETTm1,96,2021,intact,0.0,0.0
b,Intervention vs intact history,validation,ETTm1,96,2021,batch_shuffle,75.91077986310817,39.93163286236883
b,Intervention vs intact history,validation,ETTm1,96,2021,temporal_shuffle,25.599847929263163,16.047202752679123
b,Intervention vs intact history,validation,ETTm1,96,2021,reverse,50.87057536665801,24.64363341275496
b,Intervention vs intact history,validation,ETTm1,96,2021,recent_mean,25.488464428482654,15.054452569017863
b,Intervention vs intact history,validation,ETTm1,96,2021,noise,26.38845920112108,15.40253483887799
b,Intervention vs intact history,validation,ETTm1,720,2021,intact,0.0,0.0
b,Intervention vs intact history,validation,ETTm1,720,2021,batch_shuffle,24.0493807024984,21.70126998550884
b,Intervention vs intact history,validation,ETTm1,720,2021,temporal_shuffle,12.288864227837744,10.169406036783364
b,Intervention vs intact history,validation,ETTm1,720,2021,reverse,22.51069869413473,14.982676797477406
b,Intervention vs intact history,validation,ETTm1,720,2021,recent_mean,13.407440009206294,10.735913303831502
b,Intervention vs intact history,validation,ETTm1,720,2021,noise,13.720788384864903,10.897942710683942
b,Intervention vs intact history,validation,ETTm2,96,2021,intact,0.0,0.0
b,Intervention vs intact history,validation,ETTm2,96,2021,batch_shuffle,34.650618778731214,16.497327091979486
b,Intervention vs intact history,validation,ETTm2,96,2021,temporal_shuffle,3.1318715215304764,1.9466635711756348
b,Intervention vs intact history,validation,ETTm2,96,2021,reverse,6.054270766526525,3.23926168682164
b,Intervention vs intact history,validation,ETTm2,96,2021,recent_mean,4.037454131300347,1.923085094356892
b,Intervention vs intact history,validation,ETTm2,96,2021,noise,4.158436656876339,1.984913571442861
b,Intervention vs intact history,validation,ETTm2,720,2021,intact,0.0,0.0
b,Intervention vs intact history,validation,ETTm2,720,2021,batch_shuffle,65.47857460783962,28.096851038473577
b,Intervention vs intact history,validation,ETTm2,720,2021,temporal_shuffle,1.1368278356618078,0.6511603642078632
b,Intervention vs intact history,validation,ETTm2,720,2021,reverse,1.7993693664574837,1.0053095078688243
b,Intervention vs intact history,validation,ETTm2,720,2021,recent_mean,4.541971108522282,2.5159257045510564
b,Intervention vs intact history,validation,ETTm2,720,2021,noise,4.607225345198291,2.549018121427743
