dataset,horizon,origin,phase,step,series,value
ETTm1,96,1065,observed_context,-96,Observed history,10.621999740600586
ETTm1,96,1065,observed_context,-95,Observed history,11.114999771118164
ETTm1,96,1065,observed_context,-94,Observed history,11.536999702453613
ETTm1,96,1065,observed_context,-93,Observed history,11.678000450134277
ETTm1,96,1065,observed_context,-92,Observed history,11.536999702453613
ETTm1,96,1065,observed_context,-91,Observed history,11.536999702453613
ETTm1,96,1065,observed_context,-90,Observed history,11.326000213623047
ETTm1,96,1065,observed_context,-89,Observed history,11.114999771118164
ETTm1,96,1065,observed_context,-88,Observed history,10.904000282287598
ETTm1,96,1065,observed_context,-87,Observed history,10.270999908447266
ETTm1,96,1065,observed_context,-86,Observed history,10.0600004196167
ETTm1,96,1065,observed_context,-85,Observed history,10.482000350952148
ETTm1,96,1065,observed_context,-84,Observed history,10.833000183105469
ETTm1,96,1065,observed_context,-83,Observed history,10.762999534606934
ETTm1,96,1065,observed_context,-82,Observed history,10.621999740600586
ETTm1,96,1065,observed_context,-81,Observed history,10.621999740600586
ETTm1,96,1065,observed_context,-80,Observed history,10.482000350952148
ETTm1,96,1065,observed_context,-79,Observed history,10.552000045776367
ETTm1,96,1065,observed_context,-78,Observed history,10.904000282287598
ETTm1,96,1065,observed_context,-77,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-76,Observed history,10.904000282287598
ETTm1,96,1065,observed_context,-75,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-74,Observed history,10.833000183105469
ETTm1,96,1065,observed_context,-73,Observed history,11.043999671936035
ETTm1,96,1065,observed_context,-72,Observed history,11.395999908447266
ETTm1,96,1065,observed_context,-71,Observed history,11.678000450134277
ETTm1,96,1065,observed_context,-70,Observed history,11.114999771118164
ETTm1,96,1065,observed_context,-69,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-68,Observed history,10.621999740600586
ETTm1,96,1065,observed_context,-67,Observed history,11.043999671936035
ETTm1,96,1065,observed_context,-66,Observed history,11.958999633789062
ETTm1,96,1065,observed_context,-65,Observed history,10.270999908447266
ETTm1,96,1065,observed_context,-64,Observed history,10.130000114440918
ETTm1,96,1065,observed_context,-63,Observed history,9.98900032043457
ETTm1,96,1065,observed_context,-62,Observed history,10.0600004196167
ETTm1,96,1065,observed_context,-61,Observed history,10.762999534606934
ETTm1,96,1065,observed_context,-60,Observed history,11.043999671936035
ETTm1,96,1065,observed_context,-59,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-58,Observed history,10.762999534606934
ETTm1,96,1065,observed_context,-57,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-56,Observed history,10.973999977111816
ETTm1,96,1065,observed_context,-55,Observed history,11.043999671936035
ETTm1,96,1065,observed_context,-54,Observed history,11.607000350952148
ETTm1,96,1065,observed_context,-53,Observed history,11.958999633789062
ETTm1,96,1065,observed_context,-52,Observed history,12.380999565124512
ETTm1,96,1065,observed_context,-51,Observed history,11.536999702453613
ETTm1,96,1065,observed_context,-50,Observed history,11.536999702453613
ETTm1,96,1065,observed_context,-49,Observed history,11.326000213623047
ETTm1,96,1065,observed_context,-48,Observed history,11.467000007629395
ETTm1,96,1065,observed_context,-47,Observed history,11.395999908447266
ETTm1,96,1065,observed_context,-46,Observed history,11.1850004196167
ETTm1,96,1065,observed_context,-45,Observed history,10.270999908447266
ETTm1,96,1065,observed_context,-44,Observed history,10.340999603271484
ETTm1,96,1065,observed_context,-43,Observed history,10.130000114440918
ETTm1,96,1065,observed_context,-42,Observed history,10.270999908447266
ETTm1,96,1065,observed_context,-41,Observed history,10.130000114440918
ETTm1,96,1065,observed_context,-40,Observed history,10.199999809265137
ETTm1,96,1065,observed_context,-39,Observed history,9.918999671936035
ETTm1,96,1065,observed_context,-38,Observed history,10.270999908447266
ETTm1,96,1065,observed_context,-37,Observed history,10.340999603271484
ETTm1,96,1065,observed_context,-36,Observed history,10.130000114440918
ETTm1,96,1065,observed_context,-35,Observed history,9.425999641418457
ETTm1,96,1065,observed_context,-34,Observed history,9.355999946594238
ETTm1,96,1065,observed_context,-33,Observed history,9.21500015258789
ETTm1,96,1065,observed_context,-32,Observed history,9.28600025177002
ETTm1,96,1065,observed_context,-31,Observed history,9.145000457763672
ETTm1,96,1065,observed_context,-30,Observed history,9.003999710083008
ETTm1,96,1065,observed_context,-29,Observed history,8.793000221252441
ETTm1,96,1065,observed_context,-28,Observed history,8.51200008392334
ETTm1,96,1065,observed_context,-27,Observed history,8.86400032043457
ETTm1,96,1065,observed_context,-26,Observed history,8.652999877929688
ETTm1,96,1065,observed_context,-25,Observed history,8.51200008392334
ETTm1,96,1065,observed_context,-24,Observed history,8.15999984741211
ETTm1,96,1065,observed_context,-23,Observed history,8.020000457763672
ETTm1,96,1065,observed_context,-22,Observed history,7.809000015258789
ETTm1,96,1065,observed_context,-21,Observed history,7.878999710083008
ETTm1,96,1065,observed_context,-20,Observed history,7.878999710083008
ETTm1,96,1065,observed_context,-19,Observed history,7.878999710083008
