dataset,horizon,origin,input_length,step,phase,series,value_standardized
ETTh2,96,408,96,0,input,Ground truth,-0.5944488644599915
ETTh2,96,408,96,1,input,Ground truth,-0.6323868632316589
ETTh2,96,408,96,2,input,Ground truth,-0.6323868632316589
ETTh2,96,408,96,3,input,Ground truth,-0.6513341665267944
ETTh2,96,408,96,4,input,Ground truth,-0.6892721652984619
ETTh2,96,408,96,5,input,Ground truth,-0.7651479840278625
ETTh2,96,408,96,6,input,Ground truth,-0.8031288981437683
ETTh2,96,408,96,7,input,Ground truth,-0.8410237431526184
ETTh2,96,408,96,8,input,Ground truth,-0.7651910781860352
ETTh2,96,408,96,9,input,Ground truth,-0.5375204086303711
ETTh2,96,408,96,10,input,Ground truth,-0.25305086374282837
ETTh2,96,408,96,11,input,Ground truth,0.03141867741942406
ETTh2,96,408,96,12,input,Ground truth,0.18317025899887085
ETTh2,96,408,96,13,input,Ground truth,0.33492201566696167
ETTh2,96,408,96,14,input,Ground truth,0.37281668186187744
ETTh2,96,408,96,15,input,Ground truth,0.37281668186187744
ETTh2,96,408,96,16,input,Ground truth,0.22115138173103333
ETTh2,96,408,96,17,input,Ground truth,0.12628494203090668
ETTh2,96,408,96,18,input,Ground truth,0.03141867741942406
ETTh2,96,408,96,19,input,Ground truth,-0.12024662643671036
ETTh2,96,408,96,20,input,Ground truth,-0.27199819684028625
ETTh2,96,408,96,21,input,Ground truth,-0.3668646514415741
ETTh2,96,408,96,22,input,Ground truth,-0.4237499535083771
ETTh2,96,408,96,23,input,Ground truth,-0.4237499535083771
ETTh2,96,408,96,24,input,Ground truth,-0.4617308974266052
ETTh2,96,408,96,25,input,Ground truth,-0.4617308974266052
ETTh2,96,408,96,26,input,Ground truth,-0.4996257424354553
ETTh2,96,408,96,27,input,Ground truth,-0.5375204086303711
ETTh2,96,408,96,28,input,Ground truth,-0.575501561164856
ETTh2,96,408,96,29,input,Ground truth,-0.6133962273597717
ETTh2,96,408,96,30,input,Ground truth,-0.6513773202896118
ETTh2,96,408,96,31,input,Ground truth,-0.6703246831893921
ETTh2,96,408,96,32,input,Ground truth,-0.6703246831893921
ETTh2,96,408,96,33,input,Ground truth,-0.5185731053352356
ETTh2,96,408,96,34,input,Ground truth,-0.3668646514415741
ETTh2,96,408,96,35,input,Ground truth,-0.29098886251449585
ETTh2,96,408,96,36,input,Ground truth,-0.1961224228143692
ETTh2,96,408,96,37,input,Ground truth,-0.12024662643671036
ETTh2,96,408,96,38,input,Ground truth,-0.04445711150765419
ETTh2,96,408,96,39,input,Ground truth,0.05040915310382843
ETTh2,96,408,96,40,input,Ground truth,0.10733760893344879
ETTh2,96,408,96,41,input,Ground truth,0.06939979642629623
ETTh2,96,408,96,42,input,Ground truth,-0.04445711150765419
ETTh2,96,408,96,43,input,Ground truth,-0.12024662643671036
ETTh2,96,408,96,44,input,Ground truth,-0.1961224228143692
ETTh2,96,408,96,45,input,Ground truth,-0.23410353064537048
ETTh2,96,408,96,46,input,Ground truth,-0.30997931957244873
ETTh2,96,408,96,47,input,Ground truth,-0.34787416458129883
ETTh2,96,408,96,48,input,Ground truth,-0.3668646514415741
ETTh2,96,408,96,49,input,Ground truth,-0.385855108499527
ETTh2,96,408,96,50,input,Ground truth,-0.4237499535083771
ETTh2,96,408,96,51,input,Ground truth,-0.44274044036865234
ETTh2,96,408,96,52,input,Ground truth,-0.48067840933799744
ETTh2,96,408,96,53,input,Ground truth,-0.5375204086303711
ETTh2,96,408,96,54,input,Ground truth,-0.575501561164856
ETTh2,96,408,96,55,input,Ground truth,-0.6323868632316589
ETTh2,96,408,96,56,input,Ground truth,-0.6323868632316589
ETTh2,96,408,96,57,input,Ground truth,-0.44274044036865234
ETTh2,96,408,96,58,input,Ground truth,-0.1961655616760254
ETTh2,96,408,96,59,input,Ground truth,0.08834712952375412
ETTh2,96,408,96,60,input,Ground truth,0.2779935598373413
ETTh2,96,408,96,61,input,Ground truth,0.5246115922927856
ETTh2,96,408,96,62,input,Ground truth,0.6573293805122375
ETTh2,96,408,96,63,input,Ground truth,0.6383821964263916
ETTh2,96,408,96,64,input,Ground truth,0.5246115922927856
ETTh2,96,408,96,65,input,Ground truth,0.3918071687221527
ETTh2,96,408,96,66,input,Ground truth,0.22115138173103333
ETTh2,96,408,96,67,input,Ground truth,0.08834712952375412
ETTh2,96,408,96,68,input,Ground truth,-0.006475997157394886
ETTh2,96,408,96,69,input,Ground truth,-0.12024662643671036
ETTh2,96,408,96,70,input,Ground truth,-0.17717507481575012
ETTh2,96,408,96,71,input,Ground truth,-0.25305086374282837
ETTh2,96,408,96,72,input,Ground truth,-0.29098886251449585
ETTh2,96,408,96,73,input,Ground truth,-0.3289266526699066
ETTh2,96,408,96,74,input,Ground truth,-0.40480244159698486
ETTh2,96,408,96,75,input,Ground truth,-0.48067840933799744
ETTh2,96,408,96,76,input,Ground truth,-0.575501561164856
ETTh2,96,408,96,77,input,Ground truth,-0.6703246831893921
ETTh2,96,408,96,78,input,Ground truth,-0.746200442314148
ETTh2,96,408,96,79,input,Ground truth,-0.7841384410858154
ETTh2,96,408,96,80,input,Ground truth,-0.6893153190612793
ETTh2,96,408,96,81,input,Ground truth,-0.40480244159698486
ETTh2,96,408,96,82,input,Ground truth,-0.17717507481575012
ETTh2,96,408,96,83,input,Ground truth,0.05040915310382843
ETTh2,96,408,96,84,input,Ground truth,0.18317025899887085
ETTh2,96,408,96,85,input,Ground truth,0.33492201566696167
ETTh2,96,408,96,86,input,Ground truth,0.48667341470718384
ETTh2,96,408,96,87,input,Ground truth,0.5246115922927856
ETTh2,96,408,96,88,input,Ground truth,0.44873562455177307
ETTh2,96,408,96,89,input,Ground truth,0.2779935598373413
ETTh2,96,408,96,90,input,Ground truth,0.1072944700717926
ETTh2,96,408,96,91,input,Ground truth,-0.025466637685894966
ETTh2,96,408,96,92,input,Ground truth,-0.10129929333925247
ETTh2,96,408,96,93,input,Ground truth,-0.15822774171829224
ETTh2,96,408,96,94,input,Ground truth,-0.1961224228143692
ETTh2,96,408,96,95,input,Ground truth,-0.23410353064537048
ETTh2,96,408,96,96,forecast,Ground truth,-0.23410353064537048
ETTh2,96,408,96,97,forecast,Ground truth,-0.25305086374282837
ETTh2,96,408,96,98,forecast,Ground truth,-0.29098886251449585
ETTh2,96,408,96,99,forecast,Ground truth,-0.3479172885417938
ETTh2,96,408,96,100,forecast,Ground truth,-0.4237499535083771
ETTh2,96,408,96,101,forecast,Ground truth,-0.4996257424354553
ETTh2,96,408,96,102,forecast,Ground truth,-0.5565110445022583
ETTh2,96,408,96,103,forecast,Ground truth,-0.5944488644599915
ETTh2,96,408,96,104,forecast,Ground truth,-0.5565110445022583
ETTh2,96,408,96,105,forecast,Ground truth,-0.44274044036865234
ETTh2,96,408,96,106,forecast,Ground truth,-0.3289266526699066
ETTh2,96,408,96,107,forecast,Ground truth,-0.10134242475032806
ETTh2,96,408,96,108,forecast,Ground truth,0.12628494203090668
ETTh2,96,408,96,109,forecast,Ground truth,0.20216089487075806
ETTh2,96,408,96,110,forecast,Ground truth,0.22110824286937714
ETTh2,96,408,96,111,forecast,Ground truth,0.16422292590141296
ETTh2,96,408,96,112,forecast,Ground truth,0.08834712952375412
ETTh2,96,408,96,113,forecast,Ground truth,-0.006475997157394886
ETTh2,96,408,96,114,forecast,Ground truth,-0.10129929333925247
ETTh2,96,408,96,115,forecast,Ground truth,-0.15822774171829224
ETTh2,96,408,96,116,forecast,Ground truth,-0.1961224228143692
ETTh2,96,408,96,117,forecast,Ground truth,-0.2151130586862564
ETTh2,96,408,96,118,forecast,Ground truth,-0.23410353064537048
ETTh2,96,408,96,119,forecast,Ground truth,-0.27199819684028625
ETTh2,96,408,96,120,forecast,Ground truth,-0.34787416458129883
ETTh2,96,408,96,121,forecast,Ground truth,-0.40480244159698486
ETTh2,96,408,96,122,forecast,Ground truth,-0.4996257424354553
ETTh2,96,408,96,123,forecast,Ground truth,-0.5375204086303711
