dataset,horizon,origin,input_length,step,phase,series,value_standardized
ETTh1,96,895,96,0,input,Ground truth,-1.115269660949707
ETTh1,96,895,96,1,input,Ground truth,-1.0462889671325684
ETTh1,96,895,96,2,input,Ground truth,-1.1076414585113525
ETTh1,96,895,96,3,input,Ground truth,-1.03092360496521
ETTh1,96,895,96,4,input,Ground truth,-1.115269660949707
ETTh1,96,895,96,5,input,Ground truth,-1.0155583620071411
ETTh1,96,895,96,6,input,Ground truth,-0.8009882569313049
ETTh1,96,895,96,7,input,Ground truth,-0.777994692325592
ETTh1,96,895,96,8,input,Ground truth,-0.8009882569313049
ETTh1,96,895,96,9,input,Ground truth,-0.8393471837043762
ETTh1,96,895,96,10,input,Ground truth,-0.9465776681900024
ETTh1,96,895,96,11,input,Ground truth,-1.0922760963439941
ETTh1,96,895,96,12,input,Ground truth,-1.1766220331192017
ETTh1,96,895,96,13,input,Ground truth,-1.2456027269363403
ETTh1,96,895,96,14,input,Ground truth,-1.2915897369384766
ETTh1,96,895,96,15,input,Ground truth,-1.3299486637115479
ETTh1,96,895,96,16,input,Ground truth,-1.3605703115463257
ETTh1,96,895,96,17,input,Ground truth,-1.4065574407577515
ETTh1,96,895,96,18,input,Ground truth,-1.4219228029251099
ETTh1,96,895,96,19,input,Ground truth,-1.4602817296981812
ETTh1,96,895,96,20,input,Ground truth,-1.4602817296981812
ETTh1,96,895,96,21,input,Ground truth,-1.4832751750946045
ETTh1,96,895,96,22,input,Ground truth,-1.5062687397003174
ETTh1,96,895,96,23,input,Ground truth,-1.490903377532959
ETTh1,96,895,96,24,input,Ground truth,-1.4985315799713135
ETTh1,96,895,96,25,input,Ground truth,-1.4602817296981812
ETTh1,96,895,96,26,input,Ground truth,-1.4295510053634644
ETTh1,96,895,96,27,input,Ground truth,-1.4065574407577515
ETTh1,96,895,96,28,input,Ground truth,-1.3375768661499023
ETTh1,96,895,96,29,input,Ground truth,-1.3145833015441895
ETTh1,96,895,96,30,input,Ground truth,-1.1458913087844849
ETTh1,96,895,96,31,input,Ground truth,-1.1536285877227783
ETTh1,96,895,96,32,input,Ground truth,-1.1612566709518433
ETTh1,96,895,96,33,input,Ground truth,-1.1536285877227783
ETTh1,96,895,96,34,input,Ground truth,-1.0539171695709229
ETTh1,96,895,96,35,input,Ground truth,-1.1076414585113525
