dataset,horizon,model,model_slug,origin,target,output,formal_record,command_source,record_chain,command
ETTh1,96,TimeRole,graphmambacmrhm,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_graphmambacmrhm.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/graphmambacmrhm_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/graphmambacmrhm_etth1_sl336_pl96_s2021.json"", ""/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/records/cmrhm_etth1_p96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""ETTh1_96_96_cmrhm_unified_etth1_p96_s2021"", ""--model"", ""GraphMambaCMRHM"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--patch_len"", ""4"", ""--stride"", ""2"", ""--d_model"", ""64"", ""--d_ff"", ""128"", ""--d_state"", ""32"", ""--d_conv"", ""2"", ""--e_layers"", ""1"", ""--expand"", ""2"", ""--mamba_version"", ""1"", ""--mamba_bidirectional"", ""1"", ""--use_graph"", ""1"", ""--use_time_mamba"", ""1"", ""--use_patch"", ""1"", ""--use_decomp"", ""1"", ""--moving_avg"", ""25"", ""--dual_scale_scan_mode"", ""independent_shared"", ""--periodic_period"", ""24"", ""--periodic_local_patch"", ""0"", ""--periodic_local_stride"", ""0"", ""--periodic_period_stride"", ""12"", ""--periodic_use_adapter"", ""1"", ""--graph_alpha"", ""0.5"", ""--graph_top_k"", ""2"", ""--graph_sample_size"", ""2000"", ""--graph_sample_method"", ""uniform"", ""--static_graph_mode"", ""weighted"", ""--graph_cache"", ""0"", ""--gc_graph_dim"", ""16"", ""--gc_temperature"", ""1.0"", ""--gc_residual_init"", ""0.5"", ""--gc_dynamic_graph"", ""1"", ""--gc_symmetric_graph"", ""1"", ""--gc_input_modulation"", ""1"", ""--gc_direction_fusion"", ""1"", ""--gc_parallel_residual"", ""1"", ""--af_hidden_dim"", ""32"", ""--af_rank"", ""16"", ""--af_mode"", ""variable_scale_residual"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0005"", ""--lradj"", ""type1"", ""--train_epochs"", ""100"", ""--patience"", ""6"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""cmrhm_unified_etth1_p96_s2021"", ""--itr"", ""1"", ""--test_after_train"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/checkpoints"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_graphmambacmrhm.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,S-Mamba,smamba,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_smamba.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/smamba_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/smamba_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""smamba_etth1_sl336_pl96_s2021"", ""--model"", ""SMamba"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""256"", ""--d_ff"", ""256"", ""--n_heads"", ""4"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""7e-05"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""smamba_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--d_state"", ""2"", ""--use_norm"", ""1"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_smamba.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,iTransformer,itransformer,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_itransformer.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/itransformer_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/itransformer_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""itransformer_etth1_sl336_pl96_s2021"", ""--model"", ""iTransformer"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""128"", ""--d_ff"", ""128"", ""--n_heads"", ""8"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0001"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""itransformer_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_itransformer.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,TimeMixer,timemixer,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_timemixer.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/timemixer_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/timemixer_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""timemixer_etth1_sl336_pl96_s2021"", ""--model"", ""TimeMixer"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""0"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""16"", ""--d_ff"", ""32"", ""--n_heads"", ""4"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.01"", ""--train_epochs"", ""10"", ""--patience"", ""10"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""timemixer_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--down_sampling_layers"", ""3"", ""--down_sampling_window"", ""2"", ""--down_sampling_method"", ""avg"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_timemixer.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,MSGNet,msgnet,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_msgnet.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/msgnet_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/msgnet_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""msgnet_etth1_sl336_pl96_s2021"", ""--model"", ""MSGNet"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""32"", ""--d_ff"", ""64"", ""--n_heads"", ""4"", ""--e_layers"", ""1"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0001"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""msgnet_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--top_k"", ""3"", ""--conv_channel"", ""32"", ""--skip_channel"", ""32"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_msgnet.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,PatchTST,patchtst,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_patchtst.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/patchtst_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/patchtst_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""patchtst_etth1_sl336_pl96_s2021"", ""--model"", ""PatchTST"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""512"", ""--d_ff"", ""2048"", ""--n_heads"", ""8"", ""--e_layers"", ""1"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0001"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""patchtst_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--patch_len"", ""16"", ""--stride"", ""8"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_patchtst.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,TimesNet,timesnet,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_timesnet.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/timesnet_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/timesnet_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""timesnet_etth1_sl336_pl96_s2021"", ""--model"", ""TimesNet"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""32"", ""--d_ff"", ""32"", ""--n_heads"", ""4"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0001"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""timesnet_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--top_k"", ""5"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_timesnet.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,96,DLinear,dlinear,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_dlinear.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/dlinear_etth1_sl336_pl96_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/dlinear_etth1_sl336_pl96_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""dlinear_etth1_sl336_pl96_s2021"", ""--model"", ""DLinear"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""96"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""32"", ""--d_ff"", ""64"", ""--n_heads"", ""4"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0001"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""dlinear_etth1_sl336_pl96_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h96_dlinear.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,192,TimeRole,graphmambacmrhm,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h192_graphmambacmrhm.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/graphmambacmrhm_etth1_sl336_pl192_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/graphmambacmrhm_etth1_sl336_pl192_s2021.json"", ""/home/cwh/Time-Series-Library/logs/cmrhm_unified_main/records/cmrhm_etth1_p192_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""ETTh1_96_192_q2f_etth1_p192_c_s2021"", ""--model"", ""GraphMambaCMRHM"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""192"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--patch_len"", ""4"", ""--stride"", ""2"", ""--d_model"", ""64"", ""--d_ff"", ""128"", ""--d_state"", ""32"", ""--d_conv"", ""2"", ""--e_layers"", ""1"", ""--expand"", ""2"", ""--mamba_version"", ""1"", ""--mamba_bidirectional"", ""1"", ""--use_graph"", ""1"", ""--use_time_mamba"", ""1"", ""--use_patch"", ""1"", ""--use_decomp"", ""1"", ""--moving_avg"", ""25"", ""--dual_scale_scan_mode"", ""independent_shared"", ""--periodic_period"", ""24"", ""--periodic_local_patch"", ""4"", ""--periodic_local_stride"", ""2"", ""--periodic_period_stride"", ""12"", ""--periodic_use_adapter"", ""1"", ""--graph_alpha"", ""0.5"", ""--graph_top_k"", ""2"", ""--graph_sample_size"", ""2000"", ""--graph_sample_method"", ""uniform"", ""--static_graph_mode"", ""weighted"", ""--graph_cache"", ""0"", ""--gc_graph_dim"", ""16"", ""--gc_temperature"", ""1.0"", ""--gc_residual_init"", ""0.5"", ""--gc_dynamic_graph"", ""1"", ""--gc_symmetric_graph"", ""1"", ""--gc_input_modulation"", ""1"", ""--gc_direction_fusion"", ""1"", ""--gc_parallel_residual"", ""1"", ""--af_hidden_dim"", ""32"", ""--af_rank"", ""16"", ""--af_mode"", ""variable_scale_residual"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""0.0005"", ""--lradj"", ""type1"", ""--train_epochs"", ""100"", ""--patience"", ""6"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""q2f_etth1_p192_c_s2021"", ""--itr"", ""1"", ""--test_after_train"", ""0"", ""--evaluation_split"", ""test"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/checkpoints"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h192_graphmambacmrhm.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
ETTh1,192,S-Mamba,smamba,895,OT,/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h192_smamba.npz,/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/smamba_etth1_sl336_pl192_s2021.json,formal_seed2021_record,"[""/home/cwh/Time-Series-Library/logs/q2_main_baselines/records/smamba_etth1_sl336_pl192_s2021.json""]","[""/home/cwh/Time-Series-Library/.venv/bin/python"", ""-u"", ""/home/cwh/Time-Series-Library/run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""0"", ""--root_path"", ""/home/cwh/Time-Series-Library/dataset/ETT-small"", ""--data_path"", ""ETTh1.csv"", ""--model_id"", ""smamba_etth1_sl336_pl192_s2021"", ""--model"", ""SMamba"", ""--seed"", ""2021"", ""--data"", ""ETTh1"", ""--features"", ""M"", ""--target"", ""OT"", ""--freq"", ""h"", ""--seq_len"", ""336"", ""--label_len"", ""48"", ""--pred_len"", ""192"", ""--enc_in"", ""7"", ""--dec_in"", ""7"", ""--c_out"", ""7"", ""--d_model"", ""256"", ""--d_ff"", ""256"", ""--n_heads"", ""4"", ""--e_layers"", ""2"", ""--d_layers"", ""1"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--batch_size"", ""32"", ""--learning_rate"", ""7e-05"", ""--train_epochs"", ""10"", ""--patience"", ""3"", ""--lradj"", ""type1"", ""--num_workers"", ""0"", ""--gpu"", ""0"", ""--des"", ""smamba_etth1_sl336_pl192_s2021"", ""--itr"", ""1"", ""--checkpoints"", ""/home/cwh/Time-Series-Library/logs/q2_main_baselines/checkpoints"", ""--test_after_train"", ""1"", ""--d_state"", ""2"", ""--use_norm"", ""1"", ""--forecast_export_path"", ""/home/cwh/Time-Series-Library/paper/neurocomputing/figures/fig3_curve_candidates/source_npz/etth1_h192_smamba.npz"", ""--forecast_export_origin"", ""895"", ""--forecast_export_channel"", ""-1"", ""--forecast_export_context"", ""96"", ""--forecast_export_only""]"
